,Set,PAMPA,Caco2
D8.1,2022_Bhardwaj,-5.16,-4.63
D8.2,2022_Bhardwaj,-5.13,-4.93
D8.4,2022_Bhardwaj,-6.87,
D8.5,2022_Bhardwaj,-5.24,-4.67
D8.6,2022_Bhardwaj,-5.47,-6.13
D8.10,2022_Bhardwaj,-5.91,-5.41
D8.11,2022_Bhardwaj,-9,
D8.12,2022_Bhardwaj,-6.74,
D8.15,2022_Bhardwaj,-6.11,
D8.16,2022_Bhardwaj,-5.67,
D8.17,2022_Bhardwaj,-6.14,
D8.18,2022_Bhardwaj,-5.98,
D8.19,2022_Bhardwaj,-5.54,
D8.20,2022_Bhardwaj,-5.97,
D8.21,2022_Bhardwaj,-5.69,-4.95
D8.22,2022_Bhardwaj,-6.67,
D8.24,2022_Bhardwaj,-9,
D8.25,2022_Bhardwaj,-6.08,
D8.26,2022_Bhardwaj,-6.59,-6.19
D8.27,2022_Bhardwaj,-6.55,
D8.28,2022_Bhardwaj,-5.94,
D8.29,2022_Bhardwaj,-6.44,
D8.30,2022_Bhardwaj,-5.36,-5.4
D8.31,2022_Bhardwaj,-5.61,-6.03
D8.32,2022_Bhardwaj,-5.27,-5.56
D9.1,2022_Bhardwaj,-5.8,-6.05
D9.5,2022_Bhardwaj,-5.45,
D9.6,2022_Bhardwaj,-5.79,-5.32
D9.10,2022_Bhardwaj,-6.08,
D9.11,2022_Bhardwaj,-6.65,
D9.12,2022_Bhardwaj,-9,
D9.14,2022_Bhardwaj,-6.23,
D9.15,2022_Bhardwaj,-6.07,
D9.16,2022_Bhardwaj,-5.49,-5.61
D9.17,2022_Bhardwaj,-5.76,
D9.18,2022_Bhardwaj,-5.75,
D9.19,2022_Bhardwaj,-5.89,
D9.20,2022_Bhardwaj,-9,
D9.21,2022_Bhardwaj,-6.53,
D9.22,2022_Bhardwaj,-6.72,
D9.23,2022_Bhardwaj,-6.85,
D9.24,2022_Bhardwaj,-7.06,
D9.25,2022_Bhardwaj,-5.66,
D9.26,2022_Bhardwaj,-5.63,
D9.27,2022_Bhardwaj,-7.48,
D9.28,2022_Bhardwaj,-5.8,
D9.29,2022_Bhardwaj,-5.82,
D9.30,2022_Bhardwaj,-5.8,-5.64
D9.31,2022_Bhardwaj,-7.16,
D9.32,2022_Bhardwaj,-6.62,
D9.33,2022_Bhardwaj,-6.5,
D9.34,2022_Bhardwaj,-9,
D9.35,2022_Bhardwaj,-9,
D9.36,2022_Bhardwaj,-9,
D9.37,2022_Bhardwaj,-9,
D9.41,2022_Bhardwaj,-5.46,
D9.43,2022_Bhardwaj,-5.67,
D10.6,2022_Bhardwaj,-5.91,
D10.7,2022_Bhardwaj,-9,
D10.18,2022_Bhardwaj,-7.02,
