,exp,pred,cv
0,-5.16,-5.918605327606201,0
1,-5.13,-6.051123142242432,0
2,-6.87,-5.790569305419922,1
3,-5.24,-6.22819185256958,3
4,-5.47,-6.207150459289551,2
5,-5.91,-6.096505641937256,2
6,-9.0,-8.378914833068848,2
7,-6.74,-7.6687703132629395,3
8,-6.11,-5.904422760009766,3
9,-5.67,-5.857732772827148,0
10,-6.14,-6.2383928298950195,2
11,-5.98,-5.799613952636719,4
12,-5.54,-5.6808905601501465,2
13,-5.97,-6.104017734527588,3
14,-6.67,-6.288477897644043,2
15,-9.0,-6.890665054321289,1
16,-6.08,-6.089990139007568,0
17,-6.59,-6.069681167602539,0
18,-6.55,-6.707293510437012,3
19,-5.94,-6.05195426940918,1
20,-6.44,-6.635629653930664,2
21,-5.36,-5.905494689941406,0
22,-5.61,-6.503605365753174,3
23,-5.27,-6.492762088775635,2
24,-5.8,-6.465860366821289,2
25,-5.45,-5.888766288757324,2
26,-5.79,-5.895255088806152,1
27,-6.08,-6.1204962730407715,4
28,-6.65,-6.060111999511719,4
29,-9.0,-8.279522895812988,3
30,-6.23,-6.8558349609375,1
31,-6.07,-6.848484516143799,4
32,-5.49,-5.930037975311279,0
33,-5.76,-6.190583229064941,0
34,-5.75,-5.5703654289245605,1
35,-5.89,-5.887547492980957,0
36,-9.0,-8.140868186950684,4
37,-6.53,-7.578250408172607,1
38,-6.72,-6.625607013702393,1
39,-6.85,-6.8781561851501465,4
40,-7.06,-6.729465007781982,1
41,-5.66,-6.291922569274902,4
42,-5.63,-6.148554801940918,4
43,-7.48,-7.893810272216797,3
44,-5.8,-6.875002384185791,1
45,-5.82,-7.40695858001709,3
46,-5.8,-5.66801643371582,0
47,-7.16,-6.785153388977051,2
48,-6.62,-6.216509819030762,3
49,-6.5,-8.242524147033691,1
50,-9.0,-8.758201599121094,1
51,-9.0,-7.682237148284912,2
52,-9.0,-7.894999980926514,2
53,-9.0,-8.542753219604492,0
54,-5.46,-7.325002670288086,4
55,-5.67,-6.373293876647949,0
56,-5.91,-6.624755382537842,0
57,-9.0,-6.761706829071045,4
58,-7.02,-8.498291969299316,3
59,-6.34,-6.330718040466309,3
60,-5.82,-6.097047328948975,4
61,-6.31,-7.278964042663574,4
62,-6.74,-7.057076930999756,3
63,-6.36,-6.65711784362793,3
64,-5.72,-6.298146724700928,3
65,-5.5,-5.86053466796875,3
