,exp,pred,cv
0,-5.16,-6.0817084312438965,0
1,-5.13,-5.90949010848999,0
2,-6.87,-5.735785484313965,1
3,-5.24,-6.092952251434326,3
4,-5.47,-6.1356658935546875,2
5,-5.91,-5.988327980041504,2
6,-9.0,-8.318177223205566,2
7,-6.74,-7.690299987792969,3
8,-6.11,-5.752041339874268,3
9,-5.67,-5.963869571685791,0
10,-6.14,-6.166921138763428,2
11,-5.98,-5.824313163757324,4
12,-5.54,-5.670342922210693,2
13,-5.97,-5.996912479400635,3
14,-6.67,-6.173056125640869,2
15,-9.0,-7.004456043243408,1
16,-6.08,-6.086545944213867,0
17,-6.59,-6.1520843505859375,0
18,-6.55,-6.738061904907227,3
19,-5.94,-6.041359901428223,1
20,-6.44,-6.588710308074951,2
21,-5.36,-5.7826666831970215,0
22,-5.61,-6.573631286621094,3
23,-5.27,-6.6399664878845215,2
24,-5.8,-6.495222091674805,2
25,-5.45,-5.773300647735596,2
26,-5.79,-5.729713439941406,1
27,-6.08,-6.121292591094971,4
28,-6.65,-6.137782096862793,4
29,-9.0,-8.374073028564453,3
30,-6.23,-6.826499938964844,1
31,-6.07,-6.879105091094971,4
32,-5.49,-5.913619041442871,0
33,-5.76,-6.0769944190979,0
34,-5.75,-5.6611857414245605,1
35,-5.89,-5.828032493591309,0
36,-9.0,-8.466886520385742,4
37,-6.53,-7.686436653137207,1
38,-6.72,-6.764914512634277,1
39,-6.85,-6.732880592346191,4
40,-7.06,-6.649198532104492,1
41,-5.66,-6.2049102783203125,4
42,-5.63,-5.994332313537598,4
43,-7.48,-7.702242374420166,3
44,-5.8,-6.970560550689697,1
45,-5.82,-7.151357173919678,3
46,-5.8,-5.814473628997803,0
47,-7.16,-6.758411884307861,2
48,-6.62,-6.0910444259643555,3
49,-6.5,-8.416722297668457,1
50,-9.0,-8.94315242767334,1
51,-9.0,-7.790866851806641,2
52,-9.0,-7.908866882324219,2
53,-9.0,-8.428865432739258,0
54,-5.46,-7.099475860595703,4
55,-5.67,-6.358004093170166,0
56,-5.91,-6.461118221282959,0
57,-9.0,-6.804923057556152,4
58,-7.02,-8.600317001342773,3
59,-6.34,-6.374541759490967,3
60,-5.82,-6.1653733253479,4
61,-6.31,-7.212096214294434,4
62,-6.74,-6.944693565368652,3
63,-6.36,-6.622691631317139,3
64,-5.72,-6.020211696624756,3
65,-5.5,-5.8307695388793945,3
66,-6.55,-6.070117950439453,4
67,-6.18,-7.070237159729004,2
68,-9.0,-7.073156356811523,2
69,-5.83,-5.790960788726807,4
70,-6.15,-6.493314743041992,0
71,-6.79,-6.482460975646973,2
72,-6.31,-7.733092308044434,1
73,-6.16,-5.976672172546387,4
74,-6.39,-6.707690715789795,4
75,-6.77,-7.898236274719238,0
76,-9.0,-7.8932013511657715,0
77,-9.0,-7.153266906738281,1
78,-6.46,-6.2710862159729,1
79,-5.37,-7.337399005889893,0
80,-9.0,-8.379739761352539,1
81,-6.47,-6.564502239227295,2
82,-6.64,-7.124998569488525,0
83,-6.83,-7.238920211791992,2
84,-7.0,-7.178826808929443,0
85,-7.11,-7.114145755767822,1
86,-7.12,-6.56216287612915,4
87,-7.14,-6.724275588989258,3
88,-7.16,-7.249154090881348,0
89,-7.17,-7.228883266448975,2
90,-7.26,-6.967310905456543,3
91,-7.27,-6.935771942138672,4
92,-7.3,-7.22637939453125,2
93,-7.32,-6.935312271118164,1
94,-7.36,-7.106390953063965,3
95,-7.45,-6.679498672485352,4
96,-7.47,-6.79179048538208,4
97,-5.36,-6.485506534576416,4
98,-5.86,-6.105730056762695,1
99,-6.13,-6.469459056854248,0
100,-6.18,-6.740644931793213,1
101,-6.31,-6.344374656677246,0
102,-6.35,-6.379135608673096,4
103,-6.36,-6.155085563659668,3
104,-6.41,-6.288882732391357,3
105,-6.44,-6.406972885131836,3
106,-6.46,-6.438098907470703,2
107,-6.5,-6.660743713378906,3
108,-6.51,-6.668356418609619,1
109,-6.56,-6.589700698852539,0
110,-6.64,-6.624269485473633,4
111,-6.64,-6.401437282562256,4
112,-6.75,-6.334041118621826,1
113,-6.76,-6.432959079742432,2
114,-6.78,-6.623573303222656,4
115,-6.79,-6.430458068847656,2
116,-6.8,-6.850479602813721,2
117,-6.85,-6.669349670410156,1
118,-6.88,-6.6423516273498535,3
119,-7.08,-6.5439348220825195,4
120,-4.96,-5.645845890045166,2
121,-5.02,-5.642783164978027,2
122,-5.32,-5.341024398803711,3
123,-5.34,-5.72425651550293,3
124,-5.34,-5.781334400177002,0
125,-5.46,-5.770565032958984,1
126,-5.54,-5.549276828765869,4
127,-5.55,-5.921573162078857,4
128,-5.61,-5.88836145401001,4
129,-5.65,-6.28193998336792,3
130,-5.7,-6.11269998550415,3
131,-5.76,-6.025908470153809,0
132,-5.83,-6.163384437561035,4
133,-5.88,-5.796561241149902,1
134,-5.91,-5.991720676422119,1
135,-5.93,-5.6355791091918945,3
136,-5.93,-5.94231653213501,4
137,-6.04,-5.9470977783203125,2
138,-6.09,-5.859739303588867,0
139,-6.24,-6.039908409118652,3
140,-6.37,-6.28928279876709,3
141,-6.4,-5.830282211303711,3
142,-6.4,-5.707149982452393,1
143,-6.42,-5.821364402770996,2
144,-6.44,-5.798641681671143,1
145,-6.47,-5.590846538543701,0
146,-6.54,-5.942535400390625,2
147,-6.72,-5.886013031005859,2
148,-5.06,-5.482945442199707,4
149,-5.11,-5.1992716789245605,0
150,-5.47,-5.665735721588135,4
151,-5.94,-5.687331199645996,0
152,-6.0,-5.403743743896484,1
153,-4.98,-5.3587870597839355,2
154,-5.1,-5.514553546905518,2
155,-5.1,-5.512348175048828,2
156,-5.1,-5.168508529663086,1
157,-5.18,-5.353316783905029,4
158,-5.29,-5.758954048156738,4
159,-5.3,-5.252788066864014,0
160,-5.31,-5.394342422485352,3
161,-5.38,-5.559850215911865,3
162,-5.4,-5.2428178787231445,0
163,-5.47,-5.339304447174072,2
164,-5.47,-5.510667324066162,1
165,-5.54,-5.208428382873535,4
166,-5.8,-5.320582866668701,0
167,-7.13,-7.205092430114746,0
168,-5.55,-5.714167594909668,1
169,-7.33,-6.592276573181152,2
170,-8.28,-7.86341667175293,1
