,exp,pred,cv
0,-5.16,-5.843725204467773,0
1,-5.13,-5.964282512664795,0
2,-6.87,-5.938745498657227,1
3,-5.24,-6.213924407958984,3
4,-5.47,-6.2567458152771,2
5,-5.91,-6.059948444366455,2
6,-9.0,-8.199722290039062,2
7,-6.74,-7.266006946563721,3
8,-6.11,-5.872026443481445,3
9,-5.67,-5.8911519050598145,0
10,-6.14,-5.984923362731934,2
11,-5.98,-5.67473030090332,4
12,-5.54,-5.726694583892822,2
13,-5.97,-6.009130001068115,3
14,-6.67,-6.412197113037109,2
15,-9.0,-7.153761863708496,1
16,-6.08,-5.922713279724121,0
17,-6.59,-6.072126865386963,0
18,-6.55,-6.984312534332275,3
19,-5.94,-6.453132152557373,1
20,-6.44,-6.4275007247924805,2
21,-5.36,-5.968589782714844,0
22,-5.61,-7.112850666046143,3
23,-5.27,-6.5511088371276855,2
24,-5.8,-5.998845100402832,2
25,-5.45,-6.146352767944336,2
26,-5.79,-6.242720127105713,1
27,-6.08,-5.922504425048828,4
28,-6.65,-5.849360466003418,4
29,-9.0,-7.928508281707764,3
30,-6.23,-6.816845417022705,1
31,-6.07,-6.861099720001221,4
32,-5.49,-5.998304843902588,0
33,-5.76,-6.276155948638916,0
34,-5.75,-5.9630231857299805,1
35,-5.89,-6.0079545974731445,0
36,-9.0,-7.8044233322143555,4
37,-6.53,-7.54022741317749,1
38,-6.72,-7.228646278381348,1
39,-6.85,-6.68654727935791,4
40,-7.06,-7.106074810028076,1
41,-5.66,-6.251702308654785,4
42,-5.63,-5.818130970001221,4
43,-7.48,-7.914892196655273,3
44,-5.8,-6.189914226531982,1
45,-5.82,-7.1612019538879395,3
46,-5.8,-5.652901649475098,0
47,-7.16,-6.821690082550049,2
48,-6.62,-6.259359359741211,3
49,-6.5,-7.970963954925537,1
50,-9.0,-8.755217552185059,1
51,-9.0,-6.737924575805664,2
52,-9.0,-7.795857906341553,2
53,-9.0,-8.802384376525879,0
54,-5.46,-7.563963890075684,4
55,-5.67,-5.957548141479492,0
56,-5.91,-6.6834869384765625,0
57,-9.0,-6.571836471557617,4
58,-7.02,-7.556535243988037,3
59,-6.34,-6.522982120513916,3
60,-5.82,-5.859331130981445,4
61,-6.31,-7.337654113769531,4
62,-6.74,-7.505017280578613,3
63,-6.36,-7.052323818206787,3
64,-5.72,-6.736346244812012,3
65,-5.5,-6.156306266784668,3
66,-6.55,-6.130552291870117,4
67,-6.18,-6.968539714813232,2
68,-9.0,-6.691100120544434,2
69,-5.83,-5.871291160583496,4
70,-6.15,-6.486605167388916,0
71,-6.79,-6.525254726409912,2
72,-6.31,-7.202583312988281,1
73,-6.16,-5.806992053985596,4
74,-6.39,-7.417796611785889,4
75,-6.77,-7.933650970458984,0
76,-9.0,-7.809535026550293,0
77,-9.0,-7.3207783699035645,1
78,-6.46,-6.066518306732178,1
79,-5.37,-7.452174663543701,0
80,-9.0,-8.002540588378906,1
81,-6.47,-6.631828784942627,2
82,-6.64,-7.2609100341796875,0
83,-6.83,-7.188040256500244,2
84,-7.0,-6.983837604522705,0
85,-7.11,-7.068942546844482,1
86,-7.12,-6.622913360595703,4
87,-7.14,-6.617988109588623,3
88,-7.16,-6.748957633972168,0
89,-7.17,-7.074990272521973,2
90,-7.26,-7.217462062835693,3
91,-7.27,-6.807373046875,4
92,-7.3,-7.063490390777588,2
93,-7.32,-6.855748653411865,1
94,-7.36,-6.934512615203857,3
95,-7.45,-7.064147472381592,4
96,-7.47,-6.929099082946777,4
97,-5.36,-6.602415084838867,4
98,-5.86,-6.040310382843018,1
99,-6.13,-6.50736665725708,0
100,-6.18,-6.636636257171631,1
101,-6.31,-6.704776287078857,0
102,-6.35,-6.45257568359375,4
103,-6.36,-6.417055130004883,3
104,-6.41,-6.477616310119629,3
105,-6.44,-6.512516975402832,3
106,-6.46,-6.643807411193848,2
107,-6.5,-6.419911861419678,3
108,-6.51,-6.371679306030273,1
109,-6.56,-6.44620418548584,0
