,exp,pred,cv
0,-5.16,-5.809165000915527,0
1,-5.13,-5.808626174926758,0
2,-6.87,-5.461990833282471,1
3,-5.24,-5.927648544311523,3
4,-5.47,-6.043783187866211,2
5,-5.91,-6.054689407348633,2
6,-9.0,-8.431206703186035,2
7,-6.74,-7.353371620178223,3
8,-6.11,-5.599769115447998,3
9,-5.67,-5.992669582366943,0
10,-6.14,-5.898352146148682,2
11,-5.98,-5.8074870109558105,4
12,-5.54,-5.64945650100708,2
13,-5.97,-5.970338821411133,3
14,-6.67,-6.091392993927002,2
15,-9.0,-7.5302534103393555,1
16,-6.08,-5.583863258361816,0
17,-6.59,-6.008460998535156,0
18,-6.55,-6.86646842956543,3
19,-5.94,-6.406830787658691,1
20,-6.44,-6.435908794403076,2
21,-5.36,-5.783024311065674,0
22,-5.61,-6.739339351654053,3
23,-5.27,-6.837174415588379,2
24,-5.8,-6.2111430168151855,2
25,-5.45,-5.586562633514404,2
26,-5.79,-5.72645378112793,1
27,-6.08,-5.817211627960205,4
28,-6.65,-5.694455146789551,4
29,-9.0,-7.966596603393555,3
30,-6.23,-7.108715534210205,1
31,-6.07,-6.238054275512695,4
32,-5.49,-5.856281280517578,0
33,-5.76,-5.947933197021484,0
34,-5.75,-5.871352672576904,1
35,-5.89,-5.679532527923584,0
36,-9.0,-8.227680206298828,4
37,-6.53,-7.4360270500183105,1
38,-6.72,-7.520120143890381,1
39,-6.85,-6.291512966156006,4
40,-7.06,-7.303873538970947,1
41,-5.66,-6.47035026550293,4
42,-5.63,-5.670201778411865,4
43,-7.48,-7.800902366638184,3
44,-5.8,-5.891909122467041,1
45,-5.82,-7.210071563720703,3
46,-5.8,-5.701416015625,0
47,-7.16,-6.608490943908691,2
48,-6.62,-6.0187482833862305,3
49,-6.5,-7.807791233062744,1
50,-9.0,-9.3429536819458,1
51,-9.0,-6.683018684387207,2
52,-9.0,-7.791772842407227,2
53,-9.0,-9.588887214660645,0
54,-5.46,-7.06331205368042,4
55,-5.67,-5.818144798278809,0
56,-5.91,-6.527822494506836,0
57,-9.0,-6.882026672363281,4
58,-7.02,-8.530498504638672,3
59,-6.34,-6.785722255706787,3
60,-5.82,-5.880964756011963,4
61,-6.31,-7.340798377990723,4
