,exp,pred,cv
0,-5.16,-5.924211502075195,0
1,-5.13,-6.0499491691589355,0
2,-6.87,-5.802812099456787,1
3,-5.24,-6.258777618408203,3
4,-5.47,-6.2263569831848145,2
5,-5.91,-6.018277645111084,2
6,-9.0,-8.316614151000977,2
7,-6.74,-7.579649448394775,3
8,-6.11,-5.9835734367370605,3
9,-5.67,-5.789483547210693,0
10,-6.14,-6.295969486236572,2
11,-5.98,-5.809437274932861,4
12,-5.54,-5.679108142852783,2
13,-5.97,-6.119384288787842,3
14,-6.67,-6.3689494132995605,2
15,-9.0,-6.957717418670654,1
16,-6.08,-6.0307841300964355,0
17,-6.59,-6.0736565589904785,0
18,-6.55,-6.704885482788086,3
19,-5.94,-6.103264808654785,1
20,-6.44,-6.698422908782959,2
21,-5.36,-5.803640365600586,0
22,-5.61,-6.679989814758301,3
23,-5.27,-6.335577011108398,2
24,-5.8,-6.476499557495117,2
25,-5.45,-5.880701541900635,2
26,-5.79,-5.924810409545898,1
27,-6.08,-6.061014652252197,4
28,-6.65,-6.03067684173584,4
29,-9.0,-8.271026611328125,3
30,-6.23,-6.83526086807251,1
31,-6.07,-6.911482810974121,4
32,-5.49,-5.997208118438721,0
33,-5.76,-6.238776206970215,0
34,-5.75,-5.61028528213501,1
35,-5.89,-5.8982062339782715,0
36,-9.0,-8.124567985534668,4
37,-6.53,-7.62974214553833,1
38,-6.72,-6.573350429534912,1
39,-6.85,-6.835083484649658,4
40,-7.06,-6.650815010070801,1
41,-5.66,-6.3024678230285645,4
42,-5.63,-6.1618828773498535,4
43,-7.48,-7.804200172424316,3
44,-5.8,-6.896230697631836,1
45,-5.82,-7.388794422149658,3
46,-5.8,-5.705983638763428,0
47,-7.16,-6.90405797958374,2
48,-6.62,-6.2462897300720215,3
49,-6.5,-8.33134651184082,1
50,-9.0,-8.85859203338623,1
51,-9.0,-7.971492767333984,2
52,-9.0,-7.753206729888916,2
53,-9.0,-8.511090278625488,0
54,-5.46,-7.387245178222656,4
55,-5.67,-6.408473491668701,0
56,-5.91,-6.558607578277588,0
57,-9.0,-6.741200923919678,4
58,-7.02,-8.496685028076172,3
59,-6.34,-6.257979869842529,3
60,-5.82,-6.066941261291504,4
61,-6.31,-7.212347030639648,4
62,-6.74,-6.894501686096191,3
63,-6.36,-6.671428680419922,3
64,-5.72,-6.336610317230225,3
65,-5.5,-5.84531831741333,3
66,-6.55,-6.0677361488342285,4
67,-6.18,-6.814035892486572,2
68,-9.0,-7.183518886566162,2
69,-5.83,-5.816061973571777,4
70,-6.15,-6.380201816558838,0
71,-6.79,-6.533512592315674,2
72,-6.31,-7.740109920501709,1
73,-6.16,-5.958313465118408,4
74,-6.39,-7.079307556152344,4
75,-6.77,-7.959829330444336,0
76,-9.0,-7.676875591278076,0
77,-9.0,-7.288510799407959,1
78,-6.46,-6.487144947052002,1
79,-5.37,-7.4196858406066895,0
80,-9.0,-8.208697319030762,1
81,-6.47,-6.4303789138793945,2
82,-6.64,-7.090415000915527,0
83,-6.83,-7.201754093170166,2
84,-7.0,-7.0979485511779785,0
85,-7.11,-7.076501846313477,1
86,-7.12,-6.544831275939941,4
87,-7.14,-6.551715850830078,3
88,-7.16,-7.113990783691406,0
89,-7.17,-7.176326274871826,2
90,-7.26,-6.970370769500732,3
91,-7.27,-6.790802001953125,4
92,-7.3,-7.146008491516113,2
93,-7.32,-6.781620025634766,1
94,-7.36,-7.02793025970459,3
95,-7.45,-6.809470176696777,4
96,-7.47,-6.719254016876221,4
97,-5.36,-6.469593048095703,4
98,-5.86,-6.025580406188965,1
99,-6.13,-6.318398952484131,0
100,-6.18,-6.569544792175293,1
101,-6.31,-6.452808380126953,0
102,-6.35,-6.441967010498047,4
103,-6.36,-6.303966999053955,3
104,-6.41,-6.438930034637451,3
105,-6.44,-6.344517707824707,3
106,-6.46,-6.4753007888793945,2
107,-6.5,-6.56873893737793,3
108,-6.51,-6.348878860473633,1
109,-6.56,-6.44758939743042,0
110,-6.64,-6.771456718444824,4
111,-6.64,-6.439591884613037,4
112,-6.75,-6.18173360824585,1
113,-6.76,-6.410781383514404,2
114,-6.78,-6.417008399963379,4
115,-6.79,-6.344252109527588,2
116,-6.8,-6.8114399909973145,2
117,-6.85,-6.549983024597168,1
118,-6.88,-6.651391983032227,3
119,-7.08,-6.357391357421875,4
120,-4.96,-5.746861457824707,2
121,-5.02,-5.619782447814941,2
122,-5.32,-5.530276775360107,3
123,-5.34,-5.6072797775268555,3
124,-5.34,-5.6424431800842285,0
125,-5.46,-5.768532752990723,1
126,-5.54,-5.561513900756836,4
127,-5.55,-5.712436199188232,4
128,-5.61,-5.671194076538086,4
129,-5.65,-6.24361515045166,3
130,-5.7,-6.0452117919921875,3
131,-5.76,-6.048977851867676,0
132,-5.83,-6.01324987411499,4
133,-5.88,-5.699878215789795,1
134,-5.91,-6.120768070220947,1
135,-5.93,-5.746031284332275,3
136,-5.93,-6.031088829040527,4
137,-6.04,-6.234643936157227,2
138,-6.09,-5.591704845428467,0
139,-6.24,-5.991326808929443,3
140,-6.37,-6.428096771240234,3
141,-6.4,-5.8576788902282715,3
142,-6.4,-5.757055759429932,1
143,-6.42,-5.816396713256836,2
144,-6.44,-5.645930290222168,1
145,-6.47,-5.564505577087402,0
146,-6.54,-6.054308891296387,2
147,-6.72,-5.981610298156738,2
148,-5.06,-5.82247257232666,4
149,-5.11,-5.3275675773620605,0
150,-5.47,-5.57729959487915,4
151,-5.94,-5.90767240524292,0
152,-6.0,-5.39044189453125,1
153,-4.98,-5.388129234313965,2
154,-5.1,-5.644083499908447,2
155,-5.1,-5.645777225494385,2
156,-5.1,-5.370104789733887,1
157,-5.18,-5.283586502075195,4
158,-5.29,-5.614753246307373,4
159,-5.3,-5.327365875244141,0
160,-5.31,-5.4413557052612305,3
161,-5.38,-5.705051422119141,3
162,-5.4,-5.290393352508545,0
163,-5.47,-5.5177130699157715,2
164,-5.47,-5.601147174835205,1
165,-5.54,-5.201557159423828,4
166,-5.8,-5.3670806884765625,0
167,-7.13,-6.998476028442383,0
168,-5.55,-5.8193254470825195,1
169,-7.33,-6.696862697601318,2
170,-8.28,-7.769720077514648,1
171,-4.99,-5.100593566894531,0
172,-5.17,-5.24630069732666,0
173,-6.14,-5.542245388031006,1
174,-5.17,-5.466689586639404,1
175,-5.51,-5.489633083343506,2
176,-6.56,-7.062008380889893,3
177,-5.16,-5.647911548614502,3
178,-6.86,-6.255471229553223,1
179,-7.96,-7.465738296508789,3
180,-5.2,-5.546417713165283,1
181,-5.62,-5.312096118927002,3
182,-5.34,-5.289828300476074,0
183,-5.43,-5.573960304260254,4
184,-6.08,-6.032088279724121,2
185,-5.01,-5.064157962799072,3
