,exp,pred,cv
0,-5.16,-6.072533130645752,0
1,-5.13,-5.921082496643066,0
2,-6.87,-5.631656169891357,1
3,-5.24,-6.138817310333252,3
4,-5.47,-6.152461051940918,2
5,-5.91,-5.975607872009277,2
6,-9.0,-8.339344024658203,2
7,-6.74,-7.619696617126465,3
8,-6.11,-5.753770351409912,3
9,-5.67,-5.894035816192627,0
10,-6.14,-6.184463977813721,2
11,-5.98,-5.847250938415527,4
12,-5.54,-5.596453666687012,2
13,-5.97,-5.9705915451049805,3
14,-6.67,-6.251078128814697,2
15,-9.0,-6.967590808868408,1
16,-6.08,-6.133136749267578,0
17,-6.59,-6.158228397369385,0
18,-6.55,-6.72239875793457,3
19,-5.94,-6.043856620788574,1
20,-6.44,-6.719056129455566,2
21,-5.36,-5.789112091064453,0
22,-5.61,-6.610658645629883,3
23,-5.27,-6.5892653465271,2
24,-5.8,-6.483832836151123,2
25,-5.45,-5.742362976074219,2
26,-5.79,-5.698601722717285,1
27,-6.08,-6.077005863189697,4
28,-6.65,-6.230285167694092,4
29,-9.0,-8.340837478637695,3
30,-6.23,-6.745541095733643,1
31,-6.07,-6.915226459503174,4
32,-5.49,-5.893111228942871,0
33,-5.76,-6.125669002532959,0
34,-5.75,-5.6969313621521,1
35,-5.89,-5.798766613006592,0
36,-9.0,-8.345146179199219,4
37,-6.53,-7.806496620178223,1
38,-6.72,-6.667633056640625,1
39,-6.85,-6.749663352966309,4
40,-7.06,-6.524218559265137,1
41,-5.66,-6.214674472808838,4
42,-5.63,-6.056389808654785,4
43,-7.48,-7.653210163116455,3
44,-5.8,-6.940026760101318,1
45,-5.82,-7.324929237365723,3
46,-5.8,-5.822620868682861,0
47,-7.16,-6.809446334838867,2
48,-6.62,-6.083079814910889,3
49,-6.5,-8.531159400939941,1
50,-9.0,-9.096282958984375,1
51,-9.0,-8.043634414672852,2
52,-9.0,-7.844516754150391,2
53,-9.0,-8.435127258300781,0
54,-5.46,-7.0865254402160645,4
55,-5.67,-6.371273040771484,0
56,-5.91,-6.549243927001953,0
57,-9.0,-6.758522033691406,4
58,-7.02,-8.644038200378418,3
59,-6.34,-6.367115497589111,3
60,-5.82,-6.145438194274902,4
61,-6.31,-7.240087509155273,4
62,-6.74,-6.830001354217529,3
63,-6.36,-6.436145305633545,3
64,-5.72,-6.015343189239502,3
65,-5.5,-5.827205657958984,3
66,-6.55,-6.086330413818359,4
67,-6.18,-7.109205722808838,2
68,-9.0,-7.20676851272583,2
69,-5.83,-5.723777770996094,4
70,-6.15,-6.525821208953857,0
71,-6.79,-6.510818958282471,2
72,-6.31,-7.7580976486206055,1
73,-6.16,-5.893941879272461,4
74,-6.39,-6.727718353271484,4
75,-6.77,-7.928119659423828,0
76,-9.0,-7.905622959136963,0
77,-9.0,-7.0746989250183105,1
78,-6.46,-6.307065010070801,1
79,-5.37,-7.355647087097168,0
80,-9.0,-8.428183555603027,1
81,-6.47,-6.5406813621521,2
82,-6.64,-7.08917760848999,0
83,-6.83,-7.242982387542725,2
84,-7.0,-7.169016361236572,0
85,-7.11,-7.126837730407715,1
86,-7.12,-6.612739086151123,4
87,-7.14,-6.721038341522217,3
88,-7.16,-7.218823432922363,0
89,-7.17,-7.214451789855957,2
90,-7.26,-6.97224760055542,3
91,-7.27,-6.909628868103027,4
92,-7.3,-7.1944499015808105,2
93,-7.32,-6.934025287628174,1
94,-7.36,-7.070672512054443,3
95,-7.45,-6.6144843101501465,4
96,-7.47,-6.722393989562988,4
97,-5.36,-6.453673362731934,4
98,-5.86,-6.101351261138916,1
99,-6.13,-6.425415992736816,0
100,-6.18,-6.762308597564697,1
101,-6.31,-6.315107345581055,0
102,-6.35,-6.343505382537842,4
103,-6.36,-6.1921868324279785,3
104,-6.41,-6.324442386627197,3
105,-6.44,-6.366497993469238,3
106,-6.46,-6.372787952423096,2
107,-6.5,-6.624216079711914,3
108,-6.51,-6.633398532867432,1
109,-6.56,-6.5550689697265625,0
110,-6.64,-6.636966228485107,4
111,-6.64,-6.380683898925781,4
112,-6.75,-6.383859634399414,1
113,-6.76,-6.432621955871582,2
114,-6.78,-6.601686954498291,4
115,-6.79,-6.487794399261475,2
116,-6.8,-6.868412971496582,2
117,-6.85,-6.643072605133057,1
118,-6.88,-6.573925495147705,3
119,-7.08,-6.5117716789245605,4
120,-4.96,-5.58927059173584,2
121,-5.02,-5.7172088623046875,2
122,-5.32,-5.330181121826172,3
123,-5.34,-5.622995853424072,3
124,-5.34,-5.828277587890625,0
125,-5.46,-5.75580358505249,1
126,-5.54,-5.523674488067627,4
127,-5.55,-5.921421527862549,4
128,-5.61,-5.908718109130859,4
129,-5.65,-6.374374866485596,3
