,exp,pred,cv
0,-5.16,-5.909757614135742,0
1,-5.13,-6.012469291687012,0
2,-6.87,-5.7651262283325195,1
3,-5.24,-6.375203609466553,3
4,-5.47,-6.268695831298828,2
5,-5.91,-6.073477268218994,2
6,-9.0,-8.089276313781738,2
7,-6.74,-7.212979316711426,3
8,-6.11,-5.904195785522461,3
9,-5.67,-5.836750030517578,0
10,-6.14,-6.175066947937012,2
11,-5.98,-5.64468240737915,4
12,-5.54,-5.7251296043396,2
13,-5.97,-6.042120933532715,3
14,-6.67,-6.4055304527282715,2
15,-9.0,-7.295316219329834,1
16,-6.08,-5.938146591186523,0
17,-6.59,-6.05924654006958,0
18,-6.55,-6.7907395362854,3
19,-5.94,-6.421701908111572,1
20,-6.44,-6.4097700119018555,2
21,-5.36,-5.959591388702393,0
22,-5.61,-7.1383137702941895,3
23,-5.27,-6.309532165527344,2
24,-5.8,-6.0609540939331055,2
25,-5.45,-6.182520866394043,2
26,-5.79,-6.213421821594238,1
27,-6.08,-5.859823226928711,4
28,-6.65,-5.821106433868408,4
29,-9.0,-7.940677165985107,3
30,-6.23,-6.730436325073242,1
31,-6.07,-6.895132541656494,4
32,-5.49,-6.005435943603516,0
33,-5.76,-6.307030200958252,0
34,-5.75,-6.024826526641846,1
35,-5.89,-5.997153282165527,0
36,-9.0,-7.839353084564209,4
37,-6.53,-7.566221714019775,1
38,-6.72,-7.169323921203613,1
39,-6.85,-6.668791770935059,4
40,-7.06,-6.986281871795654,1
41,-5.66,-6.3015522956848145,4
42,-5.63,-5.812697887420654,4
43,-7.48,-7.695075511932373,3
44,-5.8,-6.085885524749756,1
45,-5.82,-7.232332229614258,3
46,-5.8,-5.629612445831299,0
47,-7.16,-6.869766712188721,2
48,-6.62,-6.36707878112793,3
49,-6.5,-7.987232208251953,1
50,-9.0,-8.861052513122559,1
51,-9.0,-6.833909034729004,2
52,-9.0,-7.5779547691345215,2
53,-9.0,-8.832599639892578,0
54,-5.46,-7.609179973602295,4
55,-5.67,-6.03369665145874,0
56,-5.91,-6.756086349487305,0
57,-9.0,-6.502548694610596,4
58,-7.02,-7.34470796585083,3
59,-6.34,-6.378807544708252,3
60,-5.82,-5.874746322631836,4
61,-6.31,-7.25847864151001,4
62,-6.74,-7.216224670410156,3
63,-6.36,-7.03584098815918,3
64,-5.72,-6.760175704956055,3
65,-5.5,-6.222412586212158,3
66,-6.55,-6.158796787261963,4
67,-6.18,-7.1653218269348145,2
68,-9.0,-6.829749584197998,2
69,-5.83,-5.861325263977051,4
70,-6.15,-6.591114044189453,0
71,-6.79,-6.6630706787109375,2
72,-6.31,-7.2844109535217285,1
73,-6.16,-5.748259544372559,4
74,-6.39,-7.420441627502441,4
75,-6.77,-7.940066814422607,0
76,-9.0,-7.735962867736816,0
77,-9.0,-7.459692001342773,1
78,-6.46,-6.152523040771484,1
79,-5.37,-7.4355363845825195,0
80,-9.0,-8.139486312866211,1
81,-6.47,-6.760063171386719,2
82,-6.64,-7.195040225982666,0
83,-6.83,-7.210570812225342,2
84,-7.0,-6.934750556945801,0
85,-7.11,-7.017487049102783,1
86,-7.12,-6.621325492858887,4
87,-7.14,-6.716491222381592,3
88,-7.16,-6.73478364944458,0
89,-7.17,-7.077079772949219,2
90,-7.26,-7.266709804534912,3
91,-7.27,-6.780137538909912,4
92,-7.3,-7.009214878082275,2
93,-7.32,-6.909538269042969,1
94,-7.36,-6.9892168045043945,3
95,-7.45,-7.050228118896484,4
96,-7.47,-6.919201374053955,4
97,-5.36,-6.587893962860107,4
98,-5.86,-5.948095321655273,1
99,-6.13,-6.474290370941162,0
100,-6.18,-6.662820816040039,1
101,-6.31,-6.766183376312256,0
102,-6.35,-6.4659552574157715,4
103,-6.36,-6.507139682769775,3
104,-6.41,-6.5009260177612305,3
105,-6.44,-6.520167827606201,3
106,-6.46,-6.622617721557617,2
107,-6.5,-6.4495320320129395,3
108,-6.51,-6.336445331573486,1
109,-6.56,-6.4137349128723145,0
110,-6.64,-6.768127918243408,4
111,-6.64,-6.417496204376221,4
112,-6.75,-6.14773416519165,1
113,-6.76,-6.450679779052734,2
114,-6.78,-6.434486389160156,4
115,-6.79,-6.216709613800049,2
116,-6.8,-6.646576404571533,2
117,-6.85,-6.461408615112305,1
118,-6.88,-6.569672107696533,3
119,-7.08,-6.24087381362915,4
120,-4.96,-5.996438503265381,2
121,-5.02,-5.618621826171875,2
122,-5.32,-5.850456714630127,3
123,-5.34,-5.612977981567383,3
124,-5.34,-5.631911754608154,0
125,-5.46,-5.897636413574219,1
126,-5.54,-5.655121326446533,4
127,-5.55,-5.771855354309082,4
128,-5.61,-5.439889430999756,4
129,-5.65,-6.413884162902832,3
130,-5.7,-5.917141437530518,3
131,-5.76,-6.258588790893555,0
132,-5.83,-6.043912410736084,4
133,-5.88,-5.733351230621338,1
134,-5.91,-6.038092613220215,1
135,-5.93,-5.836680889129639,3
136,-5.93,-5.839147090911865,4
137,-6.04,-6.1526875495910645,2
138,-6.09,-5.654942989349365,0
139,-6.24,-6.096988677978516,3
140,-6.37,-6.099332809448242,3
141,-6.4,-6.040907859802246,3
142,-6.4,-5.809804916381836,1
143,-6.42,-5.691667556762695,2
144,-6.44,-5.71577787399292,1
145,-6.47,-5.839865684509277,0
146,-6.54,-5.992422580718994,2
147,-6.72,-5.987525939941406,2
148,-5.06,-5.998697280883789,4
149,-5.11,-5.433803558349609,0
150,-5.47,-5.505507946014404,4
