,exp,pred,cv
0,-5.16,-5.815349578857422,0
1,-5.13,-5.82509708404541,0
2,-6.87,-5.3065009117126465,1
3,-5.24,-5.937608242034912,3
4,-5.47,-6.181921005249023,2
5,-5.91,-6.194910526275635,2
6,-9.0,-8.139656066894531,2
7,-6.74,-7.333022117614746,3
8,-6.11,-5.531586647033691,3
9,-5.67,-5.963522911071777,0
10,-6.14,-6.052781581878662,2
11,-5.98,-5.822110176086426,4
12,-5.54,-5.622627258300781,2
13,-5.97,-5.959203720092773,3
14,-6.67,-6.059770584106445,2
15,-9.0,-7.685182571411133,1
16,-6.08,-5.81090784072876,0
17,-6.59,-6.0317792892456055,0
18,-6.55,-6.632275104522705,3
19,-5.94,-6.38187313079834,1
20,-6.44,-6.484274864196777,2
21,-5.36,-5.718735218048096,0
22,-5.61,-6.83680534362793,3
23,-5.27,-6.758662700653076,2
24,-5.8,-6.146900653839111,2
25,-5.45,-5.583643913269043,2
26,-5.79,-5.750969886779785,1
27,-6.08,-5.787486553192139,4
28,-6.65,-5.657054424285889,4
29,-9.0,-8.008227348327637,3
30,-6.23,-6.9040913581848145,1
31,-6.07,-6.535179138183594,4
32,-5.49,-5.84904146194458,0
33,-5.76,-5.9202070236206055,0
34,-5.75,-5.926999092102051,1
35,-5.89,-5.598904132843018,0
36,-9.0,-8.399263381958008,4
37,-6.53,-7.59475040435791,1
38,-6.72,-7.315026760101318,1
39,-6.85,-6.3204121589660645,4
40,-7.06,-7.196558475494385,1
41,-5.66,-6.364893913269043,4
42,-5.63,-5.801364421844482,4
43,-7.48,-7.6572585105896,3
44,-5.8,-5.907991409301758,1
45,-5.82,-7.223219871520996,3
46,-5.8,-5.6350932121276855,0
47,-7.16,-6.703126430511475,2
48,-6.62,-6.154004096984863,3
49,-6.5,-7.804783344268799,1
50,-9.0,-9.608001708984375,1
51,-9.0,-6.9328389167785645,2
52,-9.0,-7.491742134094238,2
53,-9.0,-9.398056983947754,0
54,-5.46,-7.193882465362549,4
55,-5.67,-5.8435587882995605,0
56,-5.91,-6.370715141296387,0
57,-9.0,-6.873538970947266,4
58,-7.02,-8.749939918518066,3
59,-6.34,-6.749851703643799,3
60,-5.82,-5.797765731811523,4
61,-6.31,-7.228420257568359,4
62,-6.74,-7.447709560394287,3
63,-6.36,-6.905211448669434,3
64,-5.72,-6.428523063659668,3
65,-5.5,-6.3580098152160645,3
66,-6.55,-6.12554931640625,4
67,-6.18,-6.838005065917969,2
68,-9.0,-6.644787311553955,2
69,-5.83,-5.749788284301758,4
70,-6.15,-6.692571640014648,0
71,-6.79,-6.372152805328369,2
72,-6.31,-7.8770856857299805,1
73,-6.16,-5.609014987945557,4
74,-6.39,-7.202747821807861,4
75,-6.77,-8.020614624023438,0
76,-9.0,-8.303179740905762,0
77,-9.0,-7.057041168212891,1
78,-6.46,-5.799557685852051,1
79,-5.37,-7.4628071784973145,0
80,-9.0,-8.210893630981445,1
81,-6.47,-7.201278209686279,2
82,-6.64,-7.17662239074707,0
83,-6.83,-7.201278209686279,2
84,-7.0,-7.17662239074707,0
85,-7.11,-7.131616592407227,1
86,-7.12,-6.765665054321289,4
87,-7.14,-7.117713451385498,3
88,-7.16,-7.17662239074707,0
89,-7.17,-7.201278209686279,2
90,-7.26,-7.117713451385498,3
91,-7.27,-7.068862438201904,4
92,-7.3,-7.201278209686279,2
93,-7.32,-7.131616592407227,1
94,-7.36,-7.117713451385498,3
95,-7.45,-7.068862438201904,4
96,-7.47,-7.068862438201904,4
97,-5.36,-6.661932468414307,4
98,-5.86,-6.269779682159424,1
99,-6.13,-6.039633750915527,0
100,-6.18,-6.5381598472595215,1
101,-6.31,-6.717391014099121,0
102,-6.35,-6.403377532958984,4
103,-6.36,-6.37827730178833,3
104,-6.41,-6.37827730178833,3
105,-6.44,-6.728837013244629,3
106,-6.46,-6.711996555328369,2
107,-6.5,-6.781113147735596,3
108,-6.51,-6.123237609863281,1
109,-6.56,-6.696889877319336,0
110,-6.64,-6.611051082611084,4
111,-6.64,-6.1570210456848145,4
112,-6.75,-6.690382957458496,1
113,-6.76,-6.711996555328369,2
114,-6.78,-6.611051082611084,4
115,-6.79,-6.007058620452881,2
116,-6.8,-6.711996555328369,2
117,-6.85,-6.4135260581970215,1
118,-6.88,-6.239457130432129,3
119,-7.08,-6.611051082611084,4
120,-4.96,-5.512460708618164,2
121,-5.02,-5.696779727935791,2
122,-5.32,-5.623107433319092,3
123,-5.34,-5.384664058685303,3
124,-5.34,-5.2361249923706055,0
125,-5.46,-6.3490681648254395,1
126,-5.54,-5.750909328460693,4
127,-5.55,-6.316221237182617,4
128,-5.61,-5.202332019805908,4
129,-5.65,-6.250949382781982,3
130,-5.7,-6.064591884613037,3
131,-5.76,-6.0815606117248535,0
132,-5.83,-6.208531379699707,4
133,-5.88,-6.564780235290527,1
134,-5.91,-5.481414794921875,1
135,-5.93,-5.8195037841796875,3
136,-5.93,-5.821707248687744,4
137,-6.04,-5.996406555175781,2
138,-6.09,-6.0815606117248535,0
139,-6.24,-6.250949382781982,3
140,-6.37,-5.632178783416748,3
141,-6.4,-5.608858108520508,3
142,-6.4,-6.055384159088135,1
143,-6.42,-5.5384955406188965,2
144,-6.44,-5.888577461242676,1
145,-6.47,-5.2361249923706055,0
146,-6.54,-6.05824613571167,2
147,-6.72,-5.78829288482666,2
148,-5.06,-5.826178550720215,4
149,-5.11,-5.478851795196533,0
150,-5.47,-5.884826183319092,4
151,-5.94,-5.145461082458496,0
152,-6.0,-5.385807514190674,1
