,exp,pred,cv
0,-5.16,-6.346865653991699,0
1,-5.13,-5.920064926147461,0
2,-6.87,-6.491879940032959,1
3,-5.24,-6.359075546264648,3
4,-5.47,-6.726583957672119,2
5,-5.91,-6.489132404327393,2
6,-9.0,-7.238920211791992,2
7,-6.74,-6.921761989593506,3
8,-6.11,-6.472088813781738,3
9,-5.67,-6.413451194763184,0
10,-6.14,-6.228871822357178,2
11,-5.98,-6.131535053253174,4
12,-5.54,-6.0660505294799805,2
13,-5.97,-6.358119964599609,3
14,-6.67,-6.595878601074219,2
15,-9.0,-6.063136577606201,1
16,-6.08,-6.06654167175293,0
17,-6.59,-6.204521656036377,0
18,-6.55,-7.155062675476074,3
19,-5.94,-5.98792839050293,1
20,-6.44,-6.880636692047119,2
21,-5.36,-5.795653820037842,0
22,-5.61,-6.6151909828186035,3
23,-5.27,-6.867153167724609,2
24,-5.8,-6.7159810066223145,2
25,-5.45,-6.262998580932617,2
26,-5.79,-6.234325408935547,1
27,-6.08,-6.991369724273682,4
28,-6.65,-6.64647102355957,4
29,-9.0,-8.221922874450684,3
30,-6.23,-6.95343017578125,1
31,-6.07,-7.546191215515137,4
32,-5.49,-6.486118793487549,0
33,-5.76,-6.713500499725342,0
34,-5.75,-5.403955936431885,1
35,-5.89,-5.96412467956543,0
36,-9.0,-7.573619365692139,4
37,-6.53,-6.392979145050049,1
38,-6.72,-6.385311126708984,1
39,-6.85,-6.7593817710876465,4
40,-7.06,-6.300917625427246,1
41,-5.66,-6.259251117706299,4
42,-5.63,-6.587861061096191,4
43,-7.48,-7.844985485076904,3
44,-5.8,-7.6231818199157715,1
45,-5.82,-6.556602954864502,3
46,-5.8,-5.960910320281982,0
47,-7.16,-6.709712505340576,2
48,-6.62,-7.033254146575928,3
49,-6.5,-7.809625148773193,1
50,-9.0,-7.376738548278809,1
51,-9.0,-7.1307830810546875,2
52,-9.0,-7.995095252990723,2
53,-9.0,-6.918537139892578,0
54,-5.46,-7.397343158721924,4
55,-5.67,-6.755473613739014,0
56,-5.91,-7.203031063079834,0
57,-9.0,-7.2150349617004395,4
58,-7.02,-8.483113288879395,3
59,-6.34,-6.948812007904053,3
60,-5.82,-6.590460300445557,4
61,-6.31,-8.148417472839355,4
62,-6.74,-6.939962387084961,3
63,-6.36,-6.669886112213135,3
64,-5.72,-6.454225063323975,3
65,-5.5,-6.110929489135742,3
66,-6.55,-6.3723530769348145,4
67,-6.18,-6.834526538848877,2
68,-9.0,-6.7940521240234375,2
69,-5.83,-6.477104663848877,4
70,-6.15,-5.815915584564209,0
71,-6.79,-6.555986404418945,2
72,-6.31,-7.6424946784973145,1
73,-6.16,-6.470086097717285,4
74,-6.39,-6.5815749168396,4
75,-6.77,-7.490283966064453,0
76,-9.0,-6.66206169128418,0
77,-9.0,-6.907487392425537,1
78,-6.46,-6.345705032348633,1
79,-5.37,-6.233232498168945,0
80,-9.0,-7.20390510559082,1
81,-6.47,-6.023662567138672,2
82,-6.64,-6.969043254852295,0
83,-6.83,-7.138177394866943,2
84,-7.0,-6.9925856590271,0
85,-7.11,-7.089793682098389,1
86,-7.12,-6.385327339172363,4
87,-7.14,-6.521362781524658,3
88,-7.16,-7.138256549835205,0
89,-7.17,-7.32941198348999,2
90,-7.26,-6.990042686462402,3
91,-7.27,-6.781385898590088,4
92,-7.3,-7.042382717132568,2
93,-7.32,-6.516641139984131,1
94,-7.36,-6.848520755767822,3
95,-7.45,-7.109786510467529,4
96,-7.47,-6.69282865524292,4
97,-5.36,-6.7645111083984375,4
98,-5.86,-6.153963088989258,1
99,-6.13,-5.906552791595459,0
100,-6.18,-6.759594917297363,1
101,-6.31,-6.121445178985596,0
102,-6.35,-6.147006511688232,4
103,-6.36,-6.339705944061279,3
104,-6.41,-6.490803241729736,3
105,-6.44,-6.244341850280762,3
106,-6.46,-6.377842903137207,2
107,-6.5,-6.5776448249816895,3
108,-6.51,-6.3254170417785645,1
109,-6.56,-6.198108196258545,0
110,-6.64,-6.942750930786133,4
111,-6.64,-6.624046325683594,4
112,-6.75,-6.275173187255859,1
113,-6.76,-6.076801300048828,2
114,-6.78,-6.437089443206787,4
115,-6.79,-6.388673782348633,2
116,-6.8,-6.789283275604248,2
117,-6.85,-7.069520473480225,1
118,-6.88,-6.462378978729248,3
119,-7.08,-6.979607582092285,4
120,-4.96,-6.0129475593566895,2
121,-5.02,-5.635587215423584,2
122,-5.32,-5.547962188720703,3
123,-5.34,-5.9190754890441895,3
124,-5.34,-5.707616806030273,0
125,-5.46,-5.650218486785889,1
126,-5.54,-5.847964286804199,4
127,-5.55,-6.333463191986084,4
128,-5.61,-5.774464130401611,4
129,-5.65,-6.877204418182373,3
130,-5.7,-6.281618118286133,3
131,-5.76,-6.17624044418335,0
132,-5.83,-5.977557182312012,4
133,-5.88,-5.876367092132568,1
134,-5.91,-6.326335906982422,1
135,-5.93,-5.6884307861328125,3
136,-5.93,-6.191108226776123,4
137,-6.04,-6.376877307891846,2
138,-6.09,-5.439191818237305,0
139,-6.24,-6.220714569091797,3
140,-6.37,-6.746764659881592,3
141,-6.4,-6.0674967765808105,3
142,-6.4,-5.672706127166748,1
143,-6.42,-5.833137512207031,2
144,-6.44,-5.777248859405518,1
145,-6.47,-5.518444061279297,0
146,-6.54,-6.452104568481445,2
147,-6.72,-5.877220153808594,2
148,-5.06,-5.9106340408325195,4
149,-5.11,-5.204973220825195,0
150,-5.47,-5.46402645111084,4
151,-5.94,-5.893575668334961,0
152,-6.0,-5.477691650390625,1
153,-4.98,-5.432347774505615,2
154,-5.1,-5.574091911315918,2
155,-5.1,-5.610876083374023,2
156,-5.1,-5.322744846343994,1
157,-5.18,-5.526094913482666,4
158,-5.29,-5.977193832397461,4
159,-5.3,-5.924180030822754,0
160,-5.31,-5.287209510803223,3
161,-5.38,-5.760089874267578,3
162,-5.4,-5.328195571899414,0
163,-5.47,-5.680228233337402,2
164,-5.47,-5.7925567626953125,1
165,-5.54,-5.5318603515625,4
166,-5.8,-5.566712856292725,0
167,-7.13,-7.099768161773682,0
168,-5.55,-5.7074079513549805,1
169,-7.33,-6.869433879852295,2
170,-8.28,-6.333430767059326,1
