,exp,pred,cv
0,-5.16,-6.4517903327941895,0
1,-5.13,-5.847023010253906,0
2,-6.87,-6.38492488861084,1
3,-5.24,-6.26850700378418,3
4,-5.47,-6.927245140075684,2
5,-5.91,-6.417398452758789,2
6,-9.0,-7.622791290283203,2
7,-6.74,-7.152334213256836,3
8,-6.11,-6.190946578979492,3
9,-5.67,-6.665545463562012,0
10,-6.14,-6.1925530433654785,2
11,-5.98,-6.364768028259277,4
12,-5.54,-6.00908899307251,2
13,-5.97,-6.323509693145752,3
14,-6.67,-6.77850866317749,2
15,-9.0,-6.050746917724609,1
16,-6.08,-6.083736419677734,0
17,-6.59,-5.982080936431885,0
18,-6.55,-7.023998260498047,3
19,-5.94,-5.887676239013672,1
20,-6.44,-6.651099681854248,2
21,-5.36,-5.760918617248535,0
22,-5.61,-6.4041972160339355,3
23,-5.27,-6.969672203063965,2
24,-5.8,-6.830960273742676,2
25,-5.45,-6.283050060272217,2
26,-5.79,-6.331482410430908,1
27,-6.08,-6.8521552085876465,4
28,-6.65,-6.975701332092285,4
29,-9.0,-8.679375648498535,3
30,-6.23,-6.947322368621826,1
31,-6.07,-7.884159088134766,4
32,-5.49,-6.4709649085998535,0
33,-5.76,-6.689085483551025,0
34,-5.75,-5.836581707000732,1
35,-5.89,-6.097357273101807,0
36,-9.0,-8.006549835205078,4
37,-6.53,-6.626056671142578,1
38,-6.72,-6.395870685577393,1
39,-6.85,-6.805027484893799,4
40,-7.06,-6.466333389282227,1
41,-5.66,-6.346502304077148,4
42,-5.63,-6.335235118865967,4
43,-7.48,-7.872491359710693,3
44,-5.8,-7.697229385375977,1
45,-5.82,-6.490352153778076,3
46,-5.8,-6.215585231781006,0
47,-7.16,-6.5823822021484375,2
48,-6.62,-6.569590091705322,3
49,-6.5,-8.189861297607422,1
50,-9.0,-7.522408962249756,1
51,-9.0,-7.145418167114258,2
52,-9.0,-8.112088203430176,2
53,-9.0,-6.882480621337891,0
54,-5.46,-7.393775463104248,4
55,-5.67,-6.731498718261719,0
56,-5.91,-7.193746566772461,0
57,-9.0,-7.382818698883057,4
58,-7.02,-8.721187591552734,3
59,-6.34,-7.232337474822998,3
60,-5.82,-6.766833305358887,4
61,-6.31,-7.990303993225098,4
62,-6.74,-7.166069030761719,3
63,-6.36,-6.593951225280762,3
64,-5.72,-6.05367374420166,3
65,-5.5,-6.192482948303223,3
66,-6.55,-6.278759002685547,4
67,-6.18,-6.818150520324707,2
68,-9.0,-7.081411361694336,2
69,-5.83,-6.553114414215088,4
70,-6.15,-5.9200592041015625,0
71,-6.79,-6.483785152435303,2
72,-6.31,-7.63851261138916,1
73,-6.16,-6.3467535972595215,4
74,-6.39,-6.56170129776001,4
75,-6.77,-7.329998016357422,0
76,-9.0,-7.169638633728027,0
