,exp,pred,cv
0,-5.16,-5.852525234222412,0
1,-5.13,-6.391772747039795,0
2,-6.87,-6.722365379333496,1
3,-5.24,-6.502658843994141,3
4,-5.47,-6.867381572723389,2
5,-5.91,-6.859046459197998,2
6,-9.0,-7.580240726470947,2
7,-6.74,-6.203678131103516,3
8,-6.11,-6.323007583618164,3
9,-5.67,-6.04760217666626,0
10,-6.14,-5.952420234680176,2
11,-5.98,-5.879956245422363,4
12,-5.54,-6.479128360748291,2
13,-5.97,-6.0900349617004395,3
14,-6.67,-6.372674942016602,2
15,-9.0,-6.525267124176025,1
16,-6.08,-5.955979824066162,0
17,-6.59,-6.093348026275635,0
18,-6.55,-7.379234790802002,3
19,-5.94,-6.470688819885254,1
20,-6.44,-6.337558269500732,2
21,-5.36,-6.544776916503906,0
22,-5.61,-7.167259693145752,3
23,-5.27,-7.025486469268799,2
24,-5.8,-6.327148914337158,2
25,-5.45,-6.502335548400879,2
26,-5.79,-6.943876266479492,1
27,-6.08,-6.560896873474121,4
28,-6.65,-6.205455303192139,4
29,-9.0,-7.3124494552612305,3
30,-6.23,-6.934304237365723,1
31,-6.07,-7.153630256652832,4
32,-5.49,-6.404176712036133,0
33,-5.76,-6.797301292419434,0
34,-5.75,-5.700429916381836,1
35,-5.89,-6.133033275604248,0
36,-9.0,-7.006473541259766,4
37,-6.53,-6.084751129150391,1
38,-6.72,-7.080324649810791,1
39,-6.85,-6.223029613494873,4
40,-7.06,-6.4171881675720215,1
41,-5.66,-7.265495300292969,4
42,-5.63,-7.213107109069824,4
43,-7.48,-7.128296375274658,3
44,-5.8,-6.575490474700928,1
45,-5.82,-6.250882148742676,3
46,-5.8,-6.080403804779053,0
47,-7.16,-7.148329257965088,2
48,-6.62,-7.423543930053711,3
49,-6.5,-6.972522258758545,1
50,-9.0,-6.836193561553955,1
51,-9.0,-6.304490566253662,2
52,-9.0,-7.592767238616943,2
53,-9.0,-6.895786285400391,0
54,-5.46,-6.87477970123291,4
55,-5.67,-7.291891098022461,0
56,-5.91,-6.439850807189941,0
57,-9.0,-6.965713977813721,4
58,-7.02,-7.515467166900635,3
59,-6.34,-6.450606822967529,3
60,-5.82,-7.145633220672607,4
61,-6.31,-7.486713409423828,4
62,-6.74,-7.063346862792969,3
63,-6.36,-6.990427494049072,3
64,-5.72,-7.1912736892700195,3
65,-5.5,-6.430010795593262,3
66,-6.55,-6.300875186920166,4
67,-6.18,-7.022367477416992,2
68,-9.0,-6.498037815093994,2
69,-5.83,-7.172219753265381,4
70,-6.15,-5.780430316925049,0
71,-6.79,-6.236541748046875,2
