,exp,pred,cv
0,-5.16,-7.923965930938721,0
1,-5.13,-6.524318695068359,0
2,-6.87,-8.578326225280762,1
3,-5.24,-6.1357622146606445,3
4,-5.47,-5.834691047668457,2
5,-5.91,-7.078482151031494,2
6,-9.0,-6.639341831207275,2
7,-6.74,-9.136731147766113,3
8,-6.11,-6.191742897033691,3
9,-5.67,-6.046877861022949,0
10,-6.14,-6.774735450744629,2
11,-5.98,-5.516697406768799,4
12,-5.54,-5.976712703704834,2
13,-5.97,-5.871258735656738,3
14,-6.67,-6.203285217285156,2
15,-9.0,-6.139397621154785,1
16,-6.08,-8.708111763000488,0
17,-6.59,-5.18341588973999,0
18,-6.55,-5.937418460845947,3
19,-5.94,-5.788835048675537,1
20,-6.44,-5.669675350189209,2
21,-5.36,-5.989473819732666,0
22,-5.61,-7.335842609405518,3
23,-5.27,-6.7378644943237305,2
24,-5.8,-6.542340278625488,2
25,-5.45,-6.263331890106201,2
26,-5.79,-6.786895751953125,1
27,-6.08,-5.6259942054748535,4
28,-6.65,-5.754502773284912,4
29,-9.0,-6.187475204467773,3
30,-6.23,-5.542295932769775,1
31,-6.07,-5.262753009796143,4
32,-5.49,-5.810328006744385,0
33,-5.76,-6.25969934463501,0
34,-5.75,-6.361125469207764,1
35,-5.89,-6.3081464767456055,0
36,-9.0,-7.311534404754639,4
37,-6.53,-6.331359386444092,1
38,-6.72,-6.586507320404053,1
39,-6.85,-6.634032249450684,4
40,-7.06,-6.586507320404053,1
41,-5.66,-8.774267196655273,4
42,-5.63,-6.4834723472595215,4
43,-7.48,-6.187475204467773,3
44,-5.8,-6.322506427764893,1
45,-5.82,-6.862593650817871,3
46,-5.8,-7.229112148284912,0
47,-7.16,-7.100046157836914,2
48,-6.62,-6.184497833251953,3
49,-6.5,-5.3831915855407715,1
50,-9.0,-5.745394229888916,1
51,-9.0,-6.672651290893555,2
52,-9.0,-6.553476810455322,2
53,-9.0,-6.602820873260498,0
54,-5.46,-5.419612407684326,4
55,-5.67,-5.518158435821533,0
56,-5.91,-6.328107833862305,0
57,-9.0,-6.9564208984375,4
58,-7.02,-6.06220006942749,3
59,-6.34,-6.139092922210693,3
60,-5.82,-8.697311401367188,4
61,-6.31,-8.775331497192383,4
62,-6.74,-8.843317985534668,3
63,-6.36,-5.689015865325928,3
64,-5.72,-5.452362537384033,3
65,-5.5,-6.262592315673828,3
66,-6.55,-5.701989650726318,4
67,-6.18,-5.722070217132568,2
68,-9.0,-6.183978080749512,2
69,-5.83,-8.697311401367188,4
70,-6.15,-6.501060485839844,0
71,-6.79,-5.722070217132568,2
72,-6.31,-6.361125469207764,1
73,-6.16,-8.697311401367188,4
74,-6.39,-6.265366554260254,4
75,-6.77,-6.6186113357543945,0
76,-9.0,-6.644088268280029,0
77,-9.0,-6.773696422576904,1
78,-6.46,-6.193780899047852,1
79,-5.37,-5.269718647003174,0
80,-9.0,-6.946366786956787,1
81,-6.47,-7.306300640106201,2
82,-6.64,-7.331876277923584,0
83,-6.83,-7.182708740234375,2
84,-7.0,-6.819458961486816,0
85,-7.11,-6.293575763702393,1
86,-7.12,-6.075280666351318,4
87,-7.14,-6.776672840118408,3
88,-7.16,-7.413142204284668,0
89,-7.17,-7.161219596862793,2
90,-7.26,-6.715702056884766,3
91,-7.27,-6.165332317352295,4
92,-7.3,-6.918941974639893,2
93,-7.32,-6.742763996124268,1
94,-7.36,-6.715702056884766,3
95,-7.45,-7.064428806304932,4
96,-7.47,-7.270085334777832,4
97,-5.36,-6.864900588989258,4
98,-5.86,-6.474462985992432,1
99,-6.13,-5.885753631591797,0
100,-6.18,-6.453876972198486,1
101,-6.31,-6.479628086090088,0
102,-6.35,-6.302788734436035,4
103,-6.36,-6.3611159324646,3
104,-6.41,-6.312909126281738,3
105,-6.44,-5.665981292724609,3
106,-6.46,-6.677595138549805,2
107,-6.5,-6.4129862785339355,3
108,-6.51,-6.588367462158203,1
109,-6.56,-6.479628086090088,0
110,-6.64,-6.7144365310668945,4
111,-6.64,-6.1440300941467285,4
112,-6.75,-6.786895751953125,1
113,-6.76,-6.677595138549805,2
114,-6.78,-6.075280666351318,4
115,-6.79,-6.322689533233643,2
116,-6.8,-6.580057144165039,2
117,-6.85,-6.474462985992432,1
118,-6.88,-6.191742897033691,3
119,-7.08,-5.8460493087768555,4
120,-4.96,-6.1570940017700195,2
121,-5.02,-5.785067558288574,2
122,-5.32,-6.22490930557251,3
123,-5.34,-5.674554347991943,3
124,-5.34,-5.674558162689209,0
125,-5.46,-5.281283855438232,1
126,-5.54,-5.6921706199646,4
127,-5.55,-5.280855655670166,4
128,-5.61,-6.065974712371826,4
129,-5.65,-5.53479528427124,3
130,-5.7,-7.301229000091553,3
131,-5.76,-6.12060546875,0
132,-5.83,-5.616377353668213,4
133,-5.88,-5.58440637588501,1
134,-5.91,-5.823559284210205,1
135,-5.93,-7.301229000091553,3
136,-5.93,-5.910800457000732,4
137,-6.04,-5.923447132110596,2
138,-6.09,-6.09230899810791,0
139,-6.24,-6.443376541137695,3
140,-6.37,-6.399063587188721,3
141,-6.4,-5.865728378295898,3
142,-6.4,-6.005899906158447,1
143,-6.42,-5.785067558288574,2
144,-6.44,-6.005899906158447,1
145,-6.47,-5.754524230957031,0
146,-6.54,-5.923447132110596,2
147,-6.72,-6.019464492797852,2
148,-5.06,-5.8460493087768555,4
149,-5.11,-5.591085910797119,0
150,-5.47,-7.232923984527588,4
151,-5.94,-5.591085910797119,0
