,exp,pred,cv
0,-5.16,-6.226875305175781,0
1,-5.13,-5.89650821685791,0
2,-6.87,-6.270541667938232,1
3,-5.24,-6.5527496337890625,3
4,-5.47,-6.341551303863525,2
5,-5.91,-6.652374744415283,2
6,-9.0,-6.861475944519043,2
7,-6.74,-6.615556240081787,3
8,-6.11,-6.565608978271484,3
9,-5.67,-6.578158855438232,0
10,-6.14,-6.50633430480957,2
11,-5.98,-6.283465385437012,4
12,-5.54,-6.2483744621276855,2
13,-5.97,-6.413094520568848,3
14,-6.67,-6.7254638671875,2
15,-9.0,-5.810853958129883,1
16,-6.08,-6.102270126342773,0
17,-6.59,-6.154017448425293,0
18,-6.55,-7.029601097106934,3
19,-5.94,-5.926051616668701,1
20,-6.44,-7.275155067443848,2
21,-5.36,-5.800968647003174,0
22,-5.61,-6.623905181884766,3
23,-5.27,-6.695157527923584,2
24,-5.8,-6.8310041427612305,2
25,-5.45,-6.411825656890869,2
26,-5.79,-6.546048641204834,1
27,-6.08,-6.972559452056885,4
28,-6.65,-6.971404075622559,4
29,-9.0,-7.864383697509766,3
30,-6.23,-6.709148406982422,1
31,-6.07,-7.63830041885376,4
32,-5.49,-6.650328159332275,0
33,-5.76,-6.925252914428711,0
34,-5.75,-5.563535213470459,1
35,-5.89,-6.017031669616699,0
36,-9.0,-6.898512363433838,4
37,-6.53,-6.410227298736572,1
38,-6.72,-6.1000285148620605,1
39,-6.85,-6.744471073150635,4
40,-7.06,-6.074038028717041,1
41,-5.66,-6.243144512176514,4
42,-5.63,-6.774910926818848,4
43,-7.48,-7.84627628326416,3
44,-5.8,-7.891032695770264,1
45,-5.82,-6.646053314208984,3
46,-5.8,-6.069636821746826,0
47,-7.16,-6.764442443847656,2
48,-6.62,-7.090009689331055,3
49,-6.5,-8.374835014343262,1
50,-9.0,-7.391003131866455,1
51,-9.0,-7.4196271896362305,2
52,-9.0,-7.3939337730407715,2
53,-9.0,-6.931377410888672,0
54,-5.46,-7.534115314483643,4
55,-5.67,-7.041471004486084,0
56,-5.91,-7.440880298614502,0
57,-9.0,-7.174763202667236,4
58,-7.02,-8.30878734588623,3
59,-6.34,-6.6236395835876465,3
60,-5.82,-6.426727294921875,4
61,-6.31,-7.9250617027282715,4
62,-6.74,-6.675725936889648,3
63,-6.36,-6.350192070007324,3
64,-5.72,-6.665754795074463,3
65,-5.5,-5.9037652015686035,3
66,-6.55,-6.365527629852295,4
67,-6.18,-7.049592018127441,2
68,-9.0,-7.071274280548096,2
69,-5.83,-5.956347465515137,4
70,-6.15,-5.801666736602783,0
71,-6.79,-6.803828716278076,2
72,-6.31,-7.487809658050537,1
73,-6.16,-6.097304344177246,4
74,-6.39,-6.887226581573486,4
75,-6.77,-7.30958366394043,0
76,-9.0,-6.3154168128967285,0
77,-9.0,-6.828646659851074,1
78,-6.46,-6.428831100463867,1
79,-5.37,-6.29987907409668,0
80,-9.0,-7.564199447631836,1
81,-6.47,-6.100686073303223,2
82,-6.64,-6.8827643394470215,0
83,-6.83,-7.192921161651611,2
84,-7.0,-6.878664970397949,0
85,-7.11,-7.04057502746582,1
86,-7.12,-6.697861671447754,4
87,-7.14,-6.445258617401123,3
88,-7.16,-6.979335308074951,0
89,-7.17,-7.285214424133301,2
90,-7.26,-7.168327331542969,3
91,-7.27,-6.924490928649902,4
92,-7.3,-7.2715373039245605,2
93,-7.32,-6.580253601074219,1
94,-7.36,-6.889816761016846,3
95,-7.45,-7.520867824554443,4
96,-7.47,-6.603543758392334,4
97,-5.36,-7.012435436248779,4
98,-5.86,-6.026544570922852,1
99,-6.13,-5.833462715148926,0
100,-6.18,-6.890604019165039,1
101,-6.31,-6.079195976257324,0
102,-6.35,-6.276806354522705,4
103,-6.36,-6.488815784454346,3
104,-6.41,-6.483299732208252,3
105,-6.44,-6.158576965332031,3
106,-6.46,-6.371490478515625,2
107,-6.5,-6.690549373626709,3
108,-6.51,-6.258301734924316,1
109,-6.56,-6.123292446136475,0
110,-6.64,-6.958780288696289,4
111,-6.64,-6.598392486572266,4
112,-6.75,-6.307690143585205,1
113,-6.76,-6.41621732711792,2
114,-6.78,-6.487072467803955,4
115,-6.79,-6.4221038818359375,2
116,-6.8,-6.708492279052734,2
117,-6.85,-7.158546447753906,1
