,exp,pred,cv
0,-5.16,-6.548614025115967,0
1,-5.13,-5.953353404998779,0
2,-6.87,-6.0882887840271,1
3,-5.24,-6.367654323577881,3
4,-5.47,-6.519730091094971,2
5,-5.91,-6.443497657775879,2
6,-9.0,-7.316470146179199,2
7,-6.74,-6.975700855255127,3
8,-6.11,-6.3771162033081055,3
9,-5.67,-6.838670253753662,0
10,-6.14,-6.439601421356201,2
11,-5.98,-6.656491756439209,4
12,-5.54,-6.105733871459961,2
13,-5.97,-6.265106201171875,3
14,-6.67,-6.939211368560791,2
15,-9.0,-5.7660369873046875,1
16,-6.08,-6.0702433586120605,0
17,-6.59,-5.855630874633789,0
18,-6.55,-6.657909393310547,3
19,-5.94,-5.873939037322998,1
20,-6.44,-6.953985214233398,2
21,-5.36,-5.849526882171631,0
22,-5.61,-6.2289042472839355,3
23,-5.27,-6.702231407165527,2
24,-5.8,-7.118992805480957,2
25,-5.45,-6.515118598937988,2
26,-5.79,-6.558081150054932,1
27,-6.08,-7.034346103668213,4
28,-6.65,-7.463088512420654,4
29,-9.0,-8.039819717407227,3
30,-6.23,-6.606861591339111,1
31,-6.07,-7.765274524688721,4
32,-5.49,-6.7709641456604,0
33,-5.76,-6.739840507507324,0
34,-5.75,-5.932086944580078,1
35,-5.89,-6.046627044677734,0
36,-9.0,-7.2745361328125,4
37,-6.53,-6.75860595703125,1
38,-6.72,-6.091620922088623,1
39,-6.85,-6.657443523406982,4
40,-7.06,-6.0311689376831055,1
41,-5.66,-6.178249835968018,4
42,-5.63,-6.3854146003723145,4
43,-7.48,-7.850729942321777,3
44,-5.8,-7.660999298095703,1
45,-5.82,-6.656698703765869,3
46,-5.8,-6.189659118652344,0
47,-7.16,-6.742067813873291,2
48,-6.62,-6.6695475578308105,3
49,-6.5,-8.966267585754395,1
50,-9.0,-7.714949607849121,1
51,-9.0,-7.807764530181885,2
52,-9.0,-7.550745010375977,2
53,-9.0,-6.722525119781494,0
54,-5.46,-7.638251781463623,4
55,-5.67,-6.958871364593506,0
56,-5.91,-7.316214561462402,0
57,-9.0,-7.259726047515869,4
58,-7.02,-8.436225891113281,3
59,-6.34,-6.516784191131592,3
60,-5.82,-6.5931549072265625,4
61,-6.31,-7.977782249450684,4
62,-6.74,-6.62275505065918,3
63,-6.36,-6.298751354217529,3
64,-5.72,-6.442541599273682,3
65,-5.5,-5.898579120635986,3
66,-6.55,-6.6670660972595215,4
67,-6.18,-7.069291114807129,2
68,-9.0,-7.79606294631958,2
69,-5.83,-5.9185943603515625,4
70,-6.15,-5.889115810394287,0
71,-6.79,-6.841350555419922,2
72,-6.31,-7.3817219734191895,1
73,-6.16,-5.880550861358643,4
74,-6.39,-6.619450569152832,4
75,-6.77,-7.257197856903076,0
76,-9.0,-6.657778263092041,0
77,-9.0,-6.756008625030518,1
78,-6.46,-6.620337009429932,1
79,-5.37,-6.593466281890869,0
80,-9.0,-7.676086902618408,1
81,-6.47,-6.111001491546631,2
82,-6.64,-6.709265232086182,0
83,-6.83,-7.3515849113464355,2
84,-7.0,-6.958046913146973,0
85,-7.11,-7.100374698638916,1
86,-7.12,-6.442859172821045,4
87,-7.14,-6.594268321990967,3
88,-7.16,-7.282381057739258,0
89,-7.17,-7.248406887054443,2
90,-7.26,-7.063680171966553,3
91,-7.27,-6.969749927520752,4
92,-7.3,-7.345268249511719,2
93,-7.32,-6.41299295425415,1
94,-7.36,-6.911434650421143,3
95,-7.45,-7.311578273773193,4
96,-7.47,-6.547133445739746,4
97,-5.36,-6.74713659286499,4
98,-5.86,-5.794319152832031,1
99,-6.13,-6.1046223640441895,0
100,-6.18,-6.9441399574279785,1
101,-6.31,-6.002401828765869,0
102,-6.35,-6.221741199493408,4
103,-6.36,-6.304354190826416,3
104,-6.41,-6.138172149658203,3
105,-6.44,-5.972762584686279,3
106,-6.46,-6.15347146987915,2
107,-6.5,-6.671091079711914,3
108,-6.51,-6.272763252258301,1
109,-6.56,-6.149596691131592,0
110,-6.64,-6.871466636657715,4
111,-6.64,-6.831467628479004,4
112,-6.75,-6.410604953765869,1
113,-6.76,-6.282978534698486,2
114,-6.78,-6.649731636047363,4
115,-6.79,-6.432194232940674,2
116,-6.8,-6.8844099044799805,2
117,-6.85,-7.0259175300598145,1
118,-6.88,-6.58982515335083,3
119,-7.08,-7.028196811676025,4
120,-4.96,-5.7071852684021,2
121,-5.02,-5.653997421264648,2
122,-5.32,-5.461312294006348,3
123,-5.34,-5.921177387237549,3
124,-5.34,-5.780994415283203,0
125,-5.46,-5.526228427886963,1
126,-5.54,-5.870865345001221,4
127,-5.55,-6.0512919425964355,4
