,exp,pred,cv
0,-5.16,-5.963133335113525,0
1,-5.13,-6.467892169952393,0
2,-6.87,-6.462188243865967,1
3,-5.24,-6.490869045257568,3
4,-5.47,-6.688094615936279,2
5,-5.91,-6.883382797241211,2
6,-9.0,-6.971867561340332,2
7,-6.74,-5.614797115325928,3
8,-6.11,-6.666105270385742,3
9,-5.67,-6.158523082733154,0
10,-6.14,-6.034664154052734,2
11,-5.98,-5.932646751403809,4
12,-5.54,-6.447555065155029,2
13,-5.97,-6.092112064361572,3
14,-6.67,-6.442997455596924,2
15,-9.0,-6.1474690437316895,1
16,-6.08,-5.887582302093506,0
17,-6.59,-6.131984233856201,0
18,-6.55,-6.73992395401001,3
19,-5.94,-6.807099342346191,1
20,-6.44,-6.811307907104492,2
21,-5.36,-6.242743492126465,0
22,-5.61,-7.235990047454834,3
23,-5.27,-6.236330986022949,2
24,-5.8,-5.90106201171875,2
25,-5.45,-6.70104455947876,2
26,-5.79,-7.558638572692871,1
27,-6.08,-7.000470161437988,4
28,-6.65,-6.595641136169434,4
29,-9.0,-6.593377590179443,3
30,-6.23,-5.798264503479004,1
31,-6.07,-7.498418807983398,4
32,-5.49,-6.5054121017456055,0
33,-5.76,-6.819242000579834,0
34,-5.75,-5.637540340423584,1
35,-5.89,-6.233850002288818,0
36,-9.0,-6.023399353027344,4
37,-6.53,-6.453639507293701,1
38,-6.72,-6.268946647644043,1
39,-6.85,-6.502638339996338,4
40,-7.06,-5.777157306671143,1
41,-5.66,-6.9212327003479,4
42,-5.63,-6.851919174194336,4
43,-7.48,-6.120306968688965,3
44,-5.8,-6.830140590667725,1
45,-5.82,-6.483536243438721,3
46,-5.8,-6.056622505187988,0
47,-7.16,-7.359835147857666,2
48,-6.62,-7.723010540008545,3
49,-6.5,-7.369304180145264,1
50,-9.0,-6.752569198608398,1
51,-9.0,-6.431471824645996,2
52,-9.0,-6.921698570251465,2
53,-9.0,-6.585412502288818,0
54,-5.46,-7.048386096954346,4
55,-5.67,-7.255443096160889,0
56,-5.91,-6.409769535064697,0
57,-9.0,-6.606595993041992,4
58,-7.02,-6.702356815338135,3
59,-6.34,-6.024335861206055,3
60,-5.82,-6.823827266693115,4
61,-6.31,-6.532355308532715,4
62,-6.74,-6.080847263336182,3
63,-6.36,-6.450411796569824,3
64,-5.72,-7.111713409423828,3
65,-5.5,-6.0825605392456055,3
66,-6.55,-6.564608573913574,4
67,-6.18,-7.287652969360352,2
68,-9.0,-6.540302276611328,2
69,-5.83,-6.2437896728515625,4
70,-6.15,-5.829376220703125,0
71,-6.79,-6.652611255645752,2
72,-6.31,-7.237886428833008,1
73,-6.16,-6.626431465148926,4
74,-6.39,-6.821978569030762,4
75,-6.77,-7.040858268737793,0
76,-9.0,-6.172138690948486,0
77,-9.0,-7.216102600097656,1
78,-6.46,-6.708183288574219,1
79,-5.37,-6.267654895782471,0
80,-9.0,-7.053168773651123,1
81,-6.47,-6.4449143409729,2
82,-6.64,-6.745162487030029,0
83,-6.83,-6.597793102264404,2
84,-7.0,-6.385394096374512,0
85,-7.11,-6.737695217132568,1
86,-7.12,-6.105686187744141,4
87,-7.14,-5.9283294677734375,3
88,-7.16,-6.491279125213623,0
89,-7.17,-7.782179832458496,2
90,-7.26,-6.717742443084717,3
91,-7.27,-5.989497184753418,4
92,-7.3,-6.7775397300720215,2
93,-7.32,-6.802789688110352,1
94,-7.36,-6.87365198135376,3
95,-7.45,-7.093288898468018,4
96,-7.47,-6.5958709716796875,4
97,-5.36,-7.246099472045898,4
98,-5.86,-6.630131244659424,1
99,-6.13,-5.735958576202393,0
100,-6.18,-6.8130083084106445,1
101,-6.31,-6.5526204109191895,0
102,-6.35,-6.638650894165039,4
103,-6.36,-6.452984809875488,3
104,-6.41,-6.863409042358398,3
105,-6.44,-6.144327163696289,3
106,-6.46,-6.745707988739014,2
107,-6.5,-6.009103298187256,3
108,-6.51,-6.090969085693359,1
109,-6.56,-6.06319522857666,0
110,-6.64,-6.594978332519531,4
111,-6.64,-7.050334453582764,4
112,-6.75,-6.161256790161133,1
113,-6.76,-6.257871627807617,2
114,-6.78,-6.231698989868164,4
115,-6.79,-6.1240644454956055,2
116,-6.8,-6.350473403930664,2
117,-6.85,-6.332266330718994,1
118,-6.88,-6.260465621948242,3
119,-7.08,-6.6710405349731445,4
120,-4.96,-6.785251140594482,2
121,-5.02,-5.773483753204346,2
122,-5.32,-6.083328723907471,3
123,-5.34,-6.112497329711914,3
124,-5.34,-6.2098388671875,0
125,-5.46,-6.211268901824951,1
126,-5.54,-5.99778938293457,4
127,-5.55,-6.513206481933594,4
128,-5.61,-5.542677879333496,4
129,-5.65,-7.659042835235596,3
130,-5.7,-6.026174068450928,3
131,-5.76,-6.680115222930908,0
132,-5.83,-6.201018333435059,4
133,-5.88,-5.722011566162109,1
134,-5.91,-6.309144973754883,1
135,-5.93,-6.182631969451904,3
136,-5.93,-6.359546184539795,4
