learning_rate,max_depth,min_data_in_leaf,n_estimators,num_leaves,reg_alpha,reg_lambda,MAE_cv0,MAE_cv1,MAE_cv2,MAE_cv3,MAE_cv4,MAE,MAE_std
0.01,-1,5,100,5,0.0,0.0,0.6144014945399411,0.5793041543349111,0.5759667691397024,0.6245046239871773,0.5890523445183364,0.5966458773040136,0.021664454299387428
0.01,-1,5,100,5,0.0,0.1,0.6170437730650972,0.5805774648565756,0.5753907106281602,0.624277715701123,0.5901296402252979,0.5974838608952509,0.021957452589345422
0.01,-1,5,100,5,0.0,0.5,0.6172282046277717,0.5849628973824628,0.5765775679525733,0.6258333959826596,0.5948457521885431,0.599889563626802,0.021008364110391958
0.01,-1,5,100,5,0.0,1.0,0.618598644174789,0.5857703368486734,0.5775966020709694,0.6279406301033521,0.6022189614467873,0.6024250349289143,0.02125149256963809
0.01,-1,5,100,5,0.1,0.0,0.6169746511864983,0.5810308434184732,0.5753050054102545,0.6239583962528866,0.5908236036324045,0.5976184999801034,0.02172362614578332
0.01,-1,5,100,5,0.1,0.1,0.6161500889955902,0.5819505597671422,0.5760616571852424,0.6254066232400008,0.5923255817974596,0.5983789021970871,0.021511074663854178
0.01,-1,5,100,5,0.1,0.5,0.6162383630115462,0.586243262890026,0.5773999812840648,0.6268132248619869,0.5965777237413182,0.6006545111577883,0.020568253287409757
0.01,-1,5,100,5,0.1,1.0,0.6186772527181502,0.5860417839624825,0.5782101594165973,0.6281317005574368,0.6034650085915424,0.6029051810492418,0.02109305094602337
0.01,-1,5,100,5,0.5,0.0,0.6173701089454919,0.5840344013625385,0.5786120150774636,0.6266950190401526,0.5976719549720166,0.6008766998795326,0.02078621986731822
0.01,-1,5,100,5,0.5,0.1,0.6176650608780309,0.5855810142530414,0.5780518871286744,0.625563006772709,0.5986322254716554,0.6010986389008222,0.020316152869440714
0.01,-1,5,100,5,0.5,0.5,0.6192305298096571,0.5849323320459241,0.5794314001093384,0.6263963594074722,0.6029451923791079,0.6025871627502999,0.020566295779941905
0.01,-1,5,100,5,0.5,1.0,0.6180571322733768,0.584583970302947,0.579525706734761,0.6257328954830365,0.607431445931456,0.6030662301451155,0.02033045833428637
0.01,-1,5,100,5,1.0,0.0,0.6197938136644887,0.5839119758263751,0.5790846485110155,0.626750516321344,0.6004902458492677,0.6020062400344982,0.021117391991996234
0.01,-1,5,100,5,1.0,0.1,0.61951001101669,0.5849387275249699,0.5795628754132209,0.6270387676641281,0.6033779484984246,0.6028856660234868,0.02077275060428431
0.01,-1,5,100,5,1.0,0.5,0.6180176820797745,0.584681061771559,0.5802086277560056,0.6267777493547007,0.6068267013525039,0.6033023644629087,0.02037233913855383
0.01,-1,5,100,5,1.0,1.0,0.6192924415810972,0.5849252640225321,0.5820304433331702,0.6248573488206675,0.6051117824630741,0.6032434560441082,0.019453592268168875
0.01,-1,5,100,10,0.0,0.0,0.6013245256499287,0.5637146282639539,0.5692435958853289,0.6106936865877031,0.5733296680621371,0.5836612208898103,0.020947684769081796
0.01,-1,5,100,10,0.0,0.1,0.6007173849840812,0.5656961041853427,0.5705059384795902,0.6106945024168163,0.574659293440861,0.5844546447013383,0.019971260653120403
0.01,-1,5,100,10,0.0,0.5,0.6038437985859145,0.5695497670595544,0.5758856785731281,0.6151219926307093,0.5804213310390796,0.5889645135776772,0.01953574357487545
0.01,-1,5,100,10,0.0,1.0,0.6020898035644698,0.5718462845579402,0.5774468976894307,0.6161354170378504,0.5891429146278023,0.5913322634954986,0.018084669620764236
0.01,-1,5,100,10,0.1,0.0,0.599818884626834,0.5675423573664844,0.5714854986905166,0.6134872462407501,0.5762395717274601,0.585714711730409,0.019954477011177935
0.01,-1,5,100,10,0.1,0.1,0.6003556454999199,0.5692612522664356,0.5728725303898066,0.6138572273721195,0.5762186341775767,0.5865130579411717,0.019551117511109595
0.01,-1,5,100,10,0.1,0.5,0.6046693916927265,0.5698671140722921,0.5731065630229534,0.6181932854520116,0.5825691769497008,0.5896811062379369,0.02094923847623244
0.01,-1,5,100,10,0.1,1.0,0.6023103691360653,0.5738168563203345,0.5768375039082475,0.6167136130657765,0.5914967515145865,0.5922350187890021,0.017871565923113508
0.01,-1,5,100,10,0.5,0.0,0.5992351577481504,0.5750195051295592,0.5742128082263783,0.6178512473915734,0.5826869767357563,0.5898011390462836,0.01862735455874679
0.01,-1,5,100,10,0.5,0.1,0.5993859402511194,0.5750278683486527,0.5762527977517071,0.618823151694015,0.5849258626927204,0.5908831241476429,0.018397469744008986
0.01,-1,5,100,10,0.5,0.5,0.5989012437665263,0.5762659607518306,0.5773241255006727,0.6186697150174452,0.5927561565351214,0.5927834403143193,0.017459560612274896
0.01,-1,5,100,10,0.5,1.0,0.5971687093466795,0.5745936323755151,0.576976649052642,0.6122953633933186,0.5956791026277203,0.591342691359175,0.015641895361834274
0.01,-1,5,100,10,1.0,0.0,0.5937960914536401,0.5756461783452871,0.578792502760486,0.6155861817842022,0.5868995080492365,0.5901440924785705,0.015891919615110273
0.01,-1,5,100,10,1.0,0.1,0.5954338855187276,0.5758864912199226,0.5766212390202954,0.6149824610106568,0.5890648307003474,0.59039778149399,0.01606172652963575
0.01,-1,5,100,10,1.0,0.5,0.5934888298375118,0.5759830996950948,0.5756544189865668,0.6170568460310759,0.5975397769598613,0.5919445943020222,0.017207956307782893
0.01,-1,5,100,10,1.0,1.0,0.5942229851088254,0.5785041850767262,0.57603929497088,0.6209071513930764,0.5962522538546648,0.5931851740808346,0.017947873584085356
0.01,-1,5,100,20,0.0,0.0,0.6126327882312095,0.5785725385153204,0.5741925412432576,0.6299961958951181,0.5867215337916689,0.5964231195353149,0.0239628224307146
0.01,-1,5,100,20,0.0,0.1,0.6122917657014435,0.5797292417197352,0.5738080652270957,0.6324069330625337,0.5914203617849689,0.5979312734991555,0.024240616474256894
0.01,-1,5,100,20,0.0,0.5,0.6122698223450569,0.5781941284802983,0.579543288020377,0.6441950645101604,0.5938776245197653,0.6016159855751316,0.02748705058665488
0.01,-1,5,100,20,0.0,1.0,0.6057129789691096,0.5831469162179806,0.5823185236150719,0.6304358508821013,0.5946527757025735,0.5992534090773673,0.019883699387888885
0.01,-1,5,100,20,0.1,0.0,0.6098544061577386,0.5782828764287604,0.5777159488097654,0.6332919990032211,0.5890194405146014,0.5976329341828173,0.023802502997099063
0.01,-1,5,100,20,0.1,0.1,0.608080664856194,0.5792634270413433,0.5779787049740859,0.6395270672074177,0.5881994538145829,0.5986098635787247,0.02584675788736022
0.01,-1,5,100,20,0.1,0.5,0.6122672556456538,0.5797591534377611,0.5796260155150863,0.6340005275608994,0.590917379659521,0.5993140663637843,0.02351304965506246
0.01,-1,5,100,20,0.1,1.0,0.6031963760723125,0.5835381102945254,0.5837040404542422,0.6256392966727311,0.5968237435792922,0.5985803134146206,0.017350457622975792
0.01,-1,5,100,20,0.5,0.0,0.614290487567557,0.5836634037417977,0.5825492585378961,0.6262487270258701,0.5903536045425388,0.5994210962831319,0.019723106740778415
0.01,-1,5,100,20,0.5,0.1,0.6141786149490319,0.5828250919460779,0.5830823615955729,0.6263598779653312,0.5935301595020309,0.599995221191609,0.019486655472064737
0.01,-1,5,100,20,0.5,0.5,0.6141169347442652,0.5859893311883351,0.5812830165491145,0.6257547570464842,0.5891270579917333,0.5992542195039865,0.019523444831292654
0.01,-1,5,100,20,0.5,1.0,0.6164968971833606,0.5895958584963293,0.5834687766298723,0.6253797907103581,0.5937885264027052,0.6017459698845251,0.01817380841886861
0.01,-1,5,100,20,1.0,0.0,0.6114408028192443,0.5888984958166632,0.583528096929169,0.6204131700354107,0.5886571687277805,0.5985875468656536,0.01628527838215647
0.01,-1,5,100,20,1.0,0.1,0.6128690641444986,0.5891166758418378,0.5822607179458846,0.6200208832095646,0.5907862445349785,0.5990107171353529,0.01642846109508688
0.01,-1,5,100,20,1.0,0.5,0.6128379843220542,0.5956716021117802,0.5837339264566234,0.6209378108579797,0.5960241009652174,0.601841084942731,0.014877716105623847
0.01,-1,5,100,20,1.0,1.0,0.6124673375474755,0.5953457241632096,0.5785235201072387,0.6338125002496589,0.6012757645705343,0.6042849693276234,0.020563583803358824
0.01,-1,5,100,30,0.0,0.0,0.6152533913931905,0.5815090253600359,0.5737025806381458,0.6477302252672543,0.5887710524784359,0.6013932550274125,0.030251835588401527
0.01,-1,5,100,30,0.0,0.1,0.6134258397186738,0.5797373220549998,0.574300686255643,0.6491562022800805,0.5907758216180226,0.6014791743854839,0.03058497147985668
0.01,-1,5,100,30,0.0,0.5,0.6087231115281032,0.5814072158911726,0.5805425835980784,0.649175078375153,0.5950548171521953,0.6029805613089405,0.02827808244341301
0.01,-1,5,100,30,0.0,1.0,0.6043285327304128,0.5841537321020542,0.5841335628627781,0.6319075207440944,0.5945636345190493,0.5998173965916778,0.01980569021124213
0.01,-1,5,100,30,0.1,0.0,0.6104614685054628,0.5759981683386942,0.5782144111279169,0.6473215054204502,0.5899325904150463,0.6003856287615141,0.029580720884523164
0.01,-1,5,100,30,0.1,0.1,0.610243327203154,0.5800259384494248,0.5777113457530576,0.6427895965174938,0.5900848660809571,0.6001710148008175,0.02706374981228932
0.01,-1,5,100,30,0.1,0.5,0.6057991433699522,0.5817470749825762,0.5820397020546734,0.637197500763843,0.5933915217706969,0.6000349885883483,0.02300375819501326
0.01,-1,5,100,30,0.1,1.0,0.6038068488372681,0.5837314055177817,0.5850447741616114,0.6231511546561418,0.5965123042332956,0.5984492974812198,0.016116254500804506
0.01,-1,5,100,30,0.5,0.0,0.6146556297128524,0.5837230119729334,0.582090371918749,0.6250048759285849,0.5913696942954452,0.599368716765713,0.01935339765823291
0.01,-1,5,100,30,0.5,0.1,0.6132531965035433,0.5828174818567602,0.5830626448650651,0.6260969944041388,0.5928756052123368,0.5996211845683688,0.019292827414839474
0.01,-1,5,100,30,0.5,0.5,0.6143850681984395,0.5859893311883351,0.581238390919744,0.6260937939719384,0.5888891664046062,0.5993191501366126,0.019730977720683204
0.01,-1,5,100,30,0.5,1.0,0.6165954795533483,0.5895958584963293,0.5834687766298723,0.6253797907103581,0.5940144870970356,0.6018108784973888,0.01816935046100071
0.01,-1,5,100,30,1.0,0.0,0.6114408028192443,0.5888984958166632,0.5834348867259557,0.6204131700354107,0.5886571687277805,0.5985689048250109,0.016306865940675402
0.01,-1,5,100,30,1.0,0.1,0.6128690641444986,0.5891166758418378,0.5822607179458846,0.6200208832095646,0.5907862524277273,0.5990107187139027,0.016428460107263478
0.01,-1,5,100,30,1.0,0.5,0.6128379843220542,0.5956716021117802,0.5837339264566234,0.6209378108579797,0.5960241009652174,0.601841084942731,0.014877716105623847
0.01,-1,5,100,30,1.0,1.0,0.6124673375474755,0.5953457241632096,0.5785235201072387,0.6338125002496589,0.6012757645705343,0.6042849693276234,0.020563583803358824
0.01,-1,5,100,40,0.0,0.0,0.6152533913931905,0.5815090253600359,0.5737025806381458,0.6477302252672543,0.5887710524784359,0.6013932550274125,0.030251835588401527
0.01,-1,5,100,40,0.0,0.1,0.6134258397186738,0.5797373220549998,0.574300686255643,0.6491562022800805,0.5907758216180226,0.6014791743854839,0.03058497147985668
0.01,-1,5,100,40,0.0,0.5,0.6087231115281032,0.5814072158911726,0.5805425835980784,0.649175078375153,0.5950548171521953,0.6029805613089405,0.02827808244341301
0.01,-1,5,100,40,0.0,1.0,0.6043285327304128,0.5841537321020542,0.5841335628627781,0.6319075207440944,0.5945636345190493,0.5998173965916778,0.01980569021124213
0.01,-1,5,100,40,0.1,0.0,0.6104614685054628,0.5759981683386942,0.5782144111279169,0.6473215054204502,0.5899325904150463,0.6003856287615141,0.029580720884523164
0.01,-1,5,100,40,0.1,0.1,0.610243327203154,0.5800259384494248,0.5777113457530576,0.6427895965174938,0.5900848660809571,0.6001710148008175,0.02706374981228932
0.01,-1,5,100,40,0.1,0.5,0.6057991433699522,0.5817470749825762,0.5820397020546734,0.637197500763843,0.5933915217706969,0.6000349885883483,0.02300375819501326
0.01,-1,5,100,40,0.1,1.0,0.6038068488372681,0.5837314055177817,0.5850447741616114,0.6231511546561418,0.5965123042332956,0.5984492974812198,0.016116254500804506
0.01,-1,5,100,40,0.5,0.0,0.6146556297128524,0.5837230119729334,0.582090371918749,0.6250048759285849,0.5913696942954452,0.599368716765713,0.01935339765823291
0.01,-1,5,100,40,0.5,0.1,0.6132531965035433,0.5828174818567602,0.5830626448650651,0.6260969944041388,0.5928756052123368,0.5996211845683688,0.019292827414839474
0.01,-1,5,100,40,0.5,0.5,0.6143850681984395,0.5859893311883351,0.581238390919744,0.6260937939719384,0.5888891664046062,0.5993191501366126,0.019730977720683204
0.01,-1,5,100,40,0.5,1.0,0.6165954795533483,0.5895958584963293,0.5834687766298723,0.6253797907103581,0.5940144870970356,0.6018108784973888,0.01816935046100071
0.01,-1,5,100,40,1.0,0.0,0.6114408028192443,0.5888984958166632,0.5834348867259557,0.6204131700354107,0.5886571687277805,0.5985689048250109,0.016306865940675402
0.01,-1,5,100,40,1.0,0.1,0.6128690641444986,0.5891166758418378,0.5822607179458846,0.6200208832095646,0.5907862524277273,0.5990107187139027,0.016428460107263478
0.01,-1,5,100,40,1.0,0.5,0.6128379843220542,0.5956716021117802,0.5837339264566234,0.6209378108579797,0.5960241009652174,0.601841084942731,0.014877716105623847
0.01,-1,5,100,40,1.0,1.0,0.6124673375474755,0.5953457241632096,0.5785235201072387,0.6338125002496589,0.6012757645705343,0.6042849693276234,0.020563583803358824
0.01,-1,5,200,5,0.0,0.0,0.5617406052627306,0.5230503400726405,0.5248968235969864,0.5811165633822846,0.5247470619480868,0.5431102788525458,0.026753063175950102
0.01,-1,5,200,5,0.0,0.1,0.5647706756686482,0.5255791882526776,0.5243080489846506,0.5799923000502525,0.5253535403568175,0.5440007506626092,0.02646533735505821
0.01,-1,5,200,5,0.0,0.5,0.5652882705949283,0.5297574177256605,0.526371694055012,0.5816650694462474,0.5312747586200754,0.5468714420883847,0.025030791594991362
0.01,-1,5,200,5,0.0,1.0,0.563156946244413,0.5354948535988847,0.5257479040273005,0.5873619605080923,0.5375517248591405,0.5498626778475662,0.025111999252290886
0.01,-1,5,200,5,0.1,0.0,0.5647293082568949,0.5265187071147561,0.5261039074139511,0.580863847190662,0.52657091679167,0.5449573373535869,0.026046610378003075
0.01,-1,5,200,5,0.1,0.1,0.5652898695528195,0.5285434123878646,0.5264799176839094,0.5798659035923672,0.527171376947533,0.5454700960328986,0.025287732268629556
