max_depth,max_features,min_samples_split,n_estimators,MAE_cv0,MAE_cv1,MAE_cv2,MAE_cv3,MAE_cv4,MAE,MAE_std
,sqrt,2,100,0.5575078039215688,0.5227649215686276,0.5411535196078433,0.5650730000000002,0.5699681470588238,0.5512934784313728,0.019325718782992444
,sqrt,2,200,0.5527550147058825,0.5216539264705882,0.5386295980392153,0.5613118774509805,0.563648397058824,0.5475997627450981,0.01750576798269994
,sqrt,2,300,0.5520148006535945,0.5186417254901959,0.5395428235294115,0.5619408921568625,0.5575074281045753,0.5459295339869279,0.017413042928163765
,sqrt,2,400,0.5518580931372548,0.5183214534313725,0.542151328431373,0.5620796544117649,0.5577643848039218,0.5464349828431374,0.017401447164295036
,sqrt,2,500,0.5516977843137255,0.5200157039215692,0.5405043039215696,0.5605554156862755,0.5566264843137262,0.5458799384313732,0.016298476040205477
,sqrt,2,600,0.5508448202614378,0.5191726699346413,0.5404428839869294,0.5607182254901973,0.5568672990196086,0.5456091797385628,0.016643467993196277
,sqrt,2,700,0.549847801120448,0.5185211946778719,0.5402154019607859,0.5591184075630266,0.5549765728291328,0.5445358756302531,0.016165588960544992
,sqrt,4,100,0.5635217488244871,0.525183670152859,0.5447463729899186,0.5542878491391506,0.5503206327172829,0.5476120547647396,0.01428518076943874
,sqrt,4,200,0.5564023643333653,0.5243859698478128,0.5359722160015088,0.5595883415246655,0.5487515923514936,0.5450200968117691,0.014691367955642751
,sqrt,4,300,0.5559446527488308,0.5255070265383761,0.5380606865724957,0.5632928738457168,0.5493542049296201,0.5464318889270079,0.014926924613104346
,sqrt,4,400,0.5529795997879232,0.5258482284058195,0.5384775757069656,0.5609545861860024,0.5507703142885095,0.5458060608750441,0.013762295078518156
,sqrt,4,500,0.5515173829912732,0.5241029481694178,0.5381543715730565,0.562706991647568,0.5522665346297764,0.5457496458022184,0.014912712022077137
,sqrt,4,600,0.5505290399975613,0.52425902326614,0.539283808694827,0.5642157839852773,0.5546351767455763,0.5465845665378762,0.015353842936941175
,sqrt,4,700,0.5489724678463416,0.5234773597039674,0.5385265535762707,0.5633688543200612,0.5516198402792974,0.5451930151451876,0.015016331732710237
,sqrt,8,100,0.5567323936450794,0.5257809711088621,0.5511708794631176,0.5604883434427818,0.5585426990929785,0.5505430573505639,0.01427205261057549
,sqrt,8,200,0.5579785932078105,0.525921289361305,0.543414319566232,0.5606456942427791,0.5551240860777877,0.5486167964911829,0.01429015611078774
,sqrt,8,300,0.5530991341623002,0.5261275513693529,0.5441282309496869,0.5607204130478413,0.5534706041678801,0.5475091867394123,0.013322234268975592
,sqrt,8,400,0.5537720829748085,0.5254814889539041,0.5435215090004755,0.5602201665682455,0.5535907214951384,0.5473171937985144,0.013589653044522237
,sqrt,8,500,0.5529412532636451,0.5244696345990791,0.5411897390977755,0.5625832088438747,0.5525646769347811,0.5467497025478311,0.01457878398890998
,sqrt,8,600,0.5528791223202653,0.5251626679101218,0.5435059199354808,0.5640460801696152,0.5544964452983164,0.5480180471267599,0.014707355209686886
,sqrt,8,700,0.5529381092980842,0.5251339761898581,0.5438696906766738,0.5627116618016706,0.5531245071048255,0.5475555890142225,0.01419511785654578
,sqrt,16,100,0.566749764888785,0.5294801798528583,0.5475480581518541,0.5795773396055521,0.5664949828154755,0.557970065062905,0.019601807647622732
,sqrt,16,200,0.5606234632743026,0.5272086190807728,0.5460120538778757,0.5782326654096015,0.5670046659731922,0.555816293523149,0.019781964258333687
,sqrt,16,300,0.560734010446471,0.5287121918102708,0.5476858167940328,0.5749259141968244,0.5643557642221014,0.5552827394939401,0.017759488195344158
,sqrt,16,400,0.561592724801306,0.5296692160752245,0.548786355809009,0.5751609088094135,0.563147072185936,0.5556712555361777,0.01727936716095055
,sqrt,16,500,0.5611501578344531,0.5301695130872884,0.5482593539347003,0.5745808421998657,0.5630754752886474,0.5554470684689911,0.016936920930340566
,sqrt,16,600,0.5606941836459366,0.5313450685832001,0.5498058965467902,0.5753454819075846,0.5627605474029299,0.5559902356172883,0.01649409072642418
,sqrt,16,700,0.5613265988685583,0.5327481233970537,0.549172286135529,0.5733267874328752,0.5598808510495817,0.5552909293767196,0.0152348675703905
,log2,2,100,0.5645181470588234,0.5306777843137257,0.557718931372549,0.5797981078431372,0.5704995294117651,0.5606425,0.018611491211531776
,log2,2,200,0.5612487647058824,0.5286355294117644,0.552527759803921,0.5715503431372548,0.5657132500000003,0.5559351294117646,0.01676722688590885
,log2,2,300,0.5629945555555554,0.5271248529411761,0.5526587254901956,0.5723319183006536,0.5618631307189539,0.5553946366013068,0.017270911769668575
,log2,2,400,0.5629506642156862,0.5303956176470587,0.5533334289215688,0.5736506519607842,0.5636266887254899,0.5567914102941176,0.016413309951981314
,log2,2,500,0.5633825509803918,0.5298942862745101,0.5528171333333342,0.5714589803921569,0.5637756333333336,0.5562657168627453,0.016164996980798468
,log2,2,600,0.5640825588235288,0.5297831258169943,0.5547880392156872,0.5712912124183009,0.5646686928104577,0.5569227258169938,0.016269844771870254
,log2,2,700,0.5633713109243691,0.5302442913165274,0.554880448179273,0.5710790252100846,0.562913204481793,0.5564976560224094,0.015754977314496287
,log2,4,100,0.5615544796251406,0.5414207563631084,0.5493155354182583,0.5776216414859379,0.5724714491623845,0.5604767724109659,0.01522075242581673
,log2,4,200,0.5576508057718831,0.5348870967985722,0.549934782781597,0.5730073109118143,0.5653221395456124,0.5561604271618958,0.014673862195953867
,log2,4,300,0.5575844735353428,0.5284429423996391,0.5507494562184634,0.5730560153349468,0.5627525502924546,0.5545170875561694,0.01669565540757066
,log2,4,400,0.5594146937112112,0.5282448994869307,0.5520945015539604,0.5741915491772118,0.5657161450647663,0.5559323577988161,0.01748264650155676
,log2,4,500,0.5594971397559141,0.5308986354927643,0.5528535761292139,0.5753084251485769,0.5658343098638835,0.5568784172780706,0.016717351146467333
,log2,4,600,0.560744916899173,0.5312047238148474,0.5529514641636324,0.5743567711626927,0.5676422459219704,0.5573800243924633,0.01665536046766781
,log2,4,700,0.5610343561788548,0.5306955773270072,0.5536436363138146,0.5746733800290434,0.5643290740621851,0.556875204782181,0.016473081664941276
,log2,8,100,0.5676217766224412,0.5361686760454142,0.5461590551001504,0.5851245501994216,0.5785557896931331,0.5627259695321121,0.020952333046945527
,log2,8,200,0.564248803085935,0.5356312444882436,0.5522876468401139,0.5816125244134552,0.5726008320866733,0.5612762101828842,0.01795207218374707
,log2,8,300,0.5642172644589895,0.5366098364432674,0.5518134839122617,0.5780918317893609,0.5698505836304906,0.560116600046874,0.01624949625283593
,log2,8,400,0.5660059921731403,0.5352692410108449,0.5513955022856296,0.5773458665072618,0.5710101360943368,0.5602053476142428,0.01690865981213688
,log2,8,500,0.5678278942648655,0.5356116119546267,0.5506894052130449,0.5791257107196174,0.5706640745127299,0.5607837393329769,0.017458526816385204
,log2,8,600,0.5689373113225076,0.5355200711621669,0.5538171303279646,0.5790077086373892,0.5728679474868297,0.5620300337873717,0.017490298748452673
,log2,8,700,0.5681154871396238,0.535171041980755,0.5533820274519939,0.5783427021005665,0.5710806297967166,0.5612183776939311,0.0171606286634381
,log2,16,100,0.5704149056153143,0.5358994107578662,0.5584777871530479,0.5858220145617027,0.5818778261054014,0.5664983888386665,0.020161201702625704
,log2,16,200,0.5677454133344086,0.5389413438077271,0.5640468868911898,0.5802350035629581,0.5757089994061755,0.5653355294004918,0.01607579223144119
,log2,16,300,0.5700743596749197,0.5394696410140973,0.5621770257852003,0.5816050321807156,0.5738324596596853,0.5654317036629236,0.01611152643743444
,log2,16,400,0.5730582765404573,0.5398845993376666,0.5629981094444745,0.5840127726934641,0.5754990077828025,0.5670905531597731,0.016952797441542045
,log2,16,500,0.5746835429615975,0.5420538308354043,0.5619375743485862,0.5840112101837329,0.5759021870488277,0.5677176690756297,0.01637857826220207
,log2,16,600,0.5758034122166164,0.5426618949461252,0.5644645366956942,0.5833326729657977,0.5792448147138952,0.5691014663076257,0.01636217351707509
,log2,16,700,0.574780630348367,0.5425551354127838,0.564045900957945,0.5829666875270841,0.5771678735155543,0.5683032455523469,0.015942434193237508
,,2,100,0.5227955686274509,0.5077644607843139,0.5302716568627452,0.5428806372549022,0.5396093333333336,0.5286643313725492,0.014104315676920212
,,2,200,0.5159130784313725,0.5093186666666663,0.5264238333333329,0.5448911715686275,0.5356793823529412,0.5264452264705881,0.014402848469339919
,,2,300,0.5214029019607841,0.5083888464052282,0.5212044183006529,0.547389931372549,0.5333374803921566,0.5263447156862741,0.014705928084124272
,,2,400,0.5224650955882348,0.5086118578431372,0.5219479044117646,0.5492487230392158,0.5326367475490195,0.5269820656862743,0.01509130371643362
,,2,500,0.5216757254901955,0.508896727450981,0.5196802235294126,0.5492293196078439,0.5310479588235294,0.5261059909803925,0.015134297669929632
,,2,600,0.5229176928104571,0.508629707516341,0.5207879248366026,0.5480661748366026,0.5300582434640524,0.5260919486928112,0.014506348138056336
,,2,700,0.5217448823529409,0.5085909355742307,0.5198551708683482,0.5491483249299727,0.529023169467787,0.5256724966386559,0.015028212500695075
,,4,100,0.5251102128440186,0.510829532367061,0.5231080476130624,0.544803489827547,0.5380772452378231,0.5283857055779023,0.013325458009955276
,,4,200,0.5181509382771502,0.5106269139424299,0.5213853944628355,0.546232189056885,0.5345492318378516,0.5261889335154304,0.014155268355022451
,,4,300,0.5241872990583576,0.5091418613537062,0.5182014949775532,0.5466262430337181,0.5317755740532343,0.5259864944953139,0.014204732039392164
,,4,400,0.525022778590411,0.5091830658042052,0.5203777744876106,0.5469418883945167,0.5304088798201659,0.526386877419382,0.013898077180406431
,,4,500,0.5246394735667759,0.5084289548088572,0.5196037957478852,0.5473211008009912,0.5293994757097529,0.5258785601268524,0.014296644067513988
,,4,600,0.5250354881129352,0.5076305939552372,0.520118259886034,0.54774241578812,0.529415489494628,0.525988449447391,0.014640336182111469
,,4,700,0.5237679247467942,0.5084444855359084,0.5196669382372029,0.5489736796052103,0.5288131230039059,0.5259332302258043,0.01490777686268592
,,8,100,0.5241604544374263,0.5093293427866953,0.5274994047134306,0.5421756316156636,0.5373016495529925,0.5280932966212417,0.012757466846485972
