,0,1,2,3,4,mean,std,type
SlogP,0.10536704,0.10430074,0.0819107,0.091754034,0.10458058,0.097582616,0.009319692,2D
density,0.061097756,0.08056656,0.061871123,0.07072958,0.07915384,0.07068378,0.00823369,2D
GCUT_SLOGP_1,0.036908954,0.039302666,0.03505291,0.0575466,0.04793127,0.04334848,0.008357526,2D
vsa_pol,0.037969388,0.027962118,0.033257402,0.033207294,0.031497374,0.032778718,0.0032310167,2D
opr_nrot,0.032953303,0.016381668,0.04402551,0.041621387,0.027404472,0.032477267,0.01002003,2D
GCUT_PEOE_0,0.030788315,0.026552115,0.039114296,0.02512346,0.03328871,0.03097338,0.005008766,2D
E_str,0.015681798,0.019802248,0.04782438,0.03504342,0.011177439,0.025905857,0.013584022,3D
dih_cos_mem_wat,0.017698742,0.019672414,0.036499977,0.016572973,0.017589793,0.02160678,0.0075139506,diffPS3D
vsurf_CW5_sur,0.018693727,0.034076612,0.0077207116,0.014955842,0.024449643,0.019979307,0.008898078,PS3D
vsurf_IW1_mem - vsurf_IW1_sur,0.019560356,0.03159179,0.014029262,0.013985309,0.01100248,0.01803384,0.007321415,diffPS3D
PEOE_VSA-6,0.016489135,0.02197736,0.017343663,0.018088894,0.014122914,0.017604392,0.0025608614,2D
balabanJ,0.018666789,0.02024392,0.008144631,0.009369426,0.025354171,0.016355786,0.0065979017,2D
GCUT_SMR_1,0.027006013,0.0064680474,0.0066032936,0.019556798,0.018495567,0.015625944,0.007980823,2D
E_sol_mem,0.018752908,0.012011569,0.012175133,0.01618673,0.008942456,0.013613759,0.0034493117,PS3D
BCUT_PEOE_0,0.015379241,0.0096042305,0.009685247,0.019064168,0.010825456,0.012911668,0.003732114,2D
vsurf_W8_wat,0.013382984,0.021324407,0.010804642,0.010781953,0.00795693,0.012850183,0.004571697,PS3D
h_pstrain,0.008280561,0.019287415,0.016701581,0.010330584,0.004893262,0.01189868,0.005334545,2D
SlogP_VSA8,0.013814851,0.010001718,0.016149675,0.00900491,0.00956659,0.011707549,0.0027918108,2D
vsurf_ID8_mem - vsurf_ID8_sur,0.009004505,0.011753789,0.010100494,0.012638338,0.012080729,0.0111155715,0.0013523794,diffPS3D
vsurf_HL2_mem - vsurf_HL2_wat,0.008209584,0.010663596,0.010038417,0.009229213,0.016957797,0.011019722,0.0030806921,diffPS3D
vsurf_Wp7_mem - vsurf_Wp7_wat,0.016442752,0.00781996,0.010813336,0.010968886,0.008879386,0.010984864,0.0029754955,diffPS3D
dih_emd_mem_sur,0.011456091,0.009517739,0.008834713,0.00941782,0.014288307,0.010702934,0.0019984294,diffPS3D
vsurf_ID8_sur - vsurf_ID8_wat,0.011890898,0.009524435,0.009230559,0.009059379,0.0117484,0.010290734,0.0012579934,diffPS3D
dih_emd_mem_wat,0.009736967,0.011764426,0.009226792,0.008812694,0.00733539,0.009375254,0.0014379526,diffPS3D
dipole_mem - dipole_wat,0.009097531,0.011560713,0.0075292056,0.0047667082,0.011688158,0.008928463,0.0026019746,diffPS3D
dih_emd_sur_wat,0.010348639,0.0060918564,0.011432455,0.0063742,0.009431706,0.00873577,0.002141265,diffPS3D
vsurf_W8_sur - vsurf_W8_wat,0.0046158456,0.013838845,0.0070723104,0.010137925,0.0077977665,0.008692538,0.0031182943,diffPS3D
LW_contacts_mem - LW_contacts_wat,0.009874077,0.010298812,0.0056577646,0.0092972955,0.008096729,0.008644936,0.0016670566,diffPS3D
LW_contacts_mem - LW_contacts_sur,0.008259154,0.008551526,0.009824534,0.010744007,0.005755769,0.0086269975,0.0016911996,diffPS3D
vsurf_IW8_wat,0.0068065007,0.00439413,0.0050544203,0.008638843,0.017345788,0.008447936,0.0046872552,PS3D
npr2_sur - npr2_wat,0.0081119435,0.005991022,0.010392816,0.006783325,0.0108911805,0.008434057,0.0019324225,diffPS3D
LW_contacts_sur - LW_contacts_wat,0.0066608284,0.009444768,0.012457241,0.0065356838,0.0055777687,0.008135257,0.002516652,diffPS3D
dih_cos_mem_sur,0.0076441835,0.00962038,0.008966992,0.009319253,0.005003754,0.0081109125,0.0016937366,diffPS3D
vsurf_EDmin1_sur,0.006593259,0.008920971,0.009397502,0.009695843,0.0057765227,0.00807682,0.0015855818,PS3D
vsurf_IW1_mem - vsurf_IW1_wat,0.007523937,0.0054486752,0.011769001,0.0053644595,0.010201266,0.008061467,0.0025578905,diffPS3D
